"GENEID","SYMBOL","tpm_counts"
"ENSG00000230876","LINC00486",20654.9962087708
"ENSG00000034510","TMSB10",15229.2713247325
"ENSG00000006128","TAC1",14745.97224311
"ENSG00000198938","MT-CO3",9906.7025564471
"ENSG00000243449","C4orf48",7076.54138024307
"ENSG00000236824","BCYRN1",6839.80663256767
"ENSG00000251562, ENSG00000278217","MALAT1",5718.60951421007
"ENSG00000173267","SNCG",5438.07201668734
"ENSG00000197746","PSAP",4939.56293961482
"ENSG00000138670","RASGEF1B",4416.49236888156
"ENSG00000175602","CCDC85B",4285.04144398479
"ENSG00000184524","CEND1",4131.91153408102
"ENSG00000198712","MT-CO2",3966.83000293906
"ENSG00000169783","LINGO1",3845.64200519713
"ENSG00000158710","TAGLN2",3608.55265121472
"ENSG00000104435","STMN2",3532.26591299906
"ENSG00000182154","MRPL41",3341.13413649609
"ENSG00000096384","HSP90AB1",3217.12575540373
"ENSG00000162188","GNG3",3192.74720375442
"ENSG00000101460","MAP1LC3A",3071.71068066127
"ENSG00000110680","CALCA",3005.92377046241
"ENSG00000135406","PRPH",2995.13118276594
"ENSG00000205542","TMSB4X",2861.21881039941
"ENSG00000154277","UCHL1",2832.76956326783
"ENSG00000111640","GAPDH",2717.84145777327
"ENSG00000091138","SLC26A3",2614.09640081321
"ENSG00000197956","S100A6",2561.48549108423
"ENSG00000166681","BEX3",2490.86245463327
"ENSG00000075624","ACTB",2481.81274610667
"ENSG00000100097","LGALS1",2458.17056976879
"ENSG00000130522","JUND",2449.8105663563
"ENSG00000258199","RP11-977G19.5",2440.63399312342
"ENSG00000170027","YWHAG",2392.30363254171
"ENSG00000167552","TUBA1A",2368.73603772153
"ENSG00000106211","HSPB1",2340.50302576367
"ENSG00000100285","NEFH",2258.11405938057
"ENSG00000197747","S100A10",2245.4531296281
"ENSG00000160014","CALM3",2215.74166410584
"ENSG00000232573","RPL3P4",2191.60324275853
"ENSG00000133169","BEX1",2189.98954501881
"ENSG00000198840","MT-ND3",2189.20863890524
"ENSG00000169020","ATP5I",2159.19834816629
"ENSG00000143256","PFDN2",2130.01524070858
"ENSG00000132563","REEP2",2111.93344576943
"ENSG00000278013","RP11-379H8.1",2094.5993103405
"ENSG00000162706","CADM3",2077.71357276373
"ENSG00000283390","RP11-134F2.7",2060.10704819302
"ENSG00000167996","FTH1",2053.48774703043
"ENSG00000277586","NEFL",2051.62635494646
"ENSG00000227097","RPS28P7",2045.75090151571
"ENSG00000143862","ARL8A",2043.57022100777
"ENSG00000141522","ARHGDIA",2040.88229525124
"ENSG00000184009","ACTG1",1983.75764473237
"ENSG00000128245","YWHAH",1975.6206448584
"ENSG00000102109","PCSK1N",1943.39093193315
"ENSG00000089220","PEBP1",1919.09156912332
"ENSG00000123416","TUBA1B",1815.70710738892
"ENSG00000198804","MT-CO1",1759.60552659553
"ENSG00000264364","DYNLL2",1707.36279456601
"ENSG00000157005","SST",1676.26341969336
"ENSG00000131711","MAP1B",1643.52979439952
"ENSG00000111674","ENO2",1510.56441737707
"ENSG00000130540","SULT4A1",1467.06110654341
"ENSG00000105404","RABAC1",1464.43853735444
"ENSG00000137267","TUBB2A",1435.05908929854
"ENSG00000134590","FAM127A",1432.15209040673
"ENSG00000099795","NDUFB7",1415.82465245087
"ENSG00000121769","FABP3",1407.1180246477
"ENSG00000142669","SH3BGRL3",1406.73029727513
"ENSG00000111669","TPI1",1394.34074603308
"ENSG00000121653","MAPK8IP1",1386.51935480087
"ENSG00000171867","PRNP",1354.8383948657
"ENSG00000167508","MVD",1351.76649283957
"ENSG00000125356","NDUFA1",1342.69186560289
"ENSG00000130203","APOE",1333.14217229693
"ENSG00000126709","IFI6",1304.47678942804
"ENSG00000103145","HCFC1R1",1298.38679507963
"ENSG00000149925","ALDOA",1284.37646804484
"ENSG00000171951","SCG2",1254.70047939295
"ENSG00000117450","PRDX1",1243.46677708063
"ENSG00000185825","BCAP31",1243.22447123314
"ENSG00000126247","CAPNS1",1229.01350849123
"ENSG00000104722","NEFM",1225.40671535083
"ENSG00000137285","TUBB2B",1203.92337024296
"ENSG00000129355","CDKN2D",1194.39801716401
"ENSG00000116133","DHCR24",1169.84459637689
"ENSG00000108828","VAT1",1141.63673627574
"ENSG00000266402","SNHG25",1134.09058391236
"ENSG00000087086","FTL",1129.24856398248
"ENSG00000042753","AP2S1",1117.48503741332
"ENSG00000106367","AP1S1",1111.24940547313
"ENSG00000263657","RP11-82O19.1",1099.14247998103
"ENSG00000183311, ENSG00000196230, ENSG00000224156, ENSG00000227739, ENSG00000229684, ENSG00000232421, ENSG00000232575, ENSG00000235067","TUBB",1091.81657111889
"ENSG00000126432","PRDX5",1091.10888045957
"ENSG00000161016","RPL8",1068.23296142138
"ENSG00000188573","FBLL1",1054.04340078095
"ENSG00000069482","GAL",1043.58143154243
"ENSG00000251675","CTC-458I2.2",1021.57820858822
"ENSG00000130748","TMEM160",1018.3549083881
"ENSG00000198899","MT-ATP6",1012.67752718202
"ENSG00000255555","AP000857.3",971.352645111091
"ENSG00000102882","MAPK3",967.543246015307
"ENSG00000197696","NMB",962.402641124011
"ENSG00000125744","RTN2",959.931065787143
"ENSG00000175868","CALCB",958.868836921709
"ENSG00000184900","SUMO3",955.916007479842
"ENSG00000174684","B4GAT1",951.979905787542
"ENSG00000172354","GNB2",949.12154713709
"ENSG00000210082","MT-RNR2",942.726437516947
"ENSG00000126950","TMEM35A",936.270435476299
"ENSG00000173113","TRMT112",935.270328420222
"ENSG00000227857","RP4-533D7.5",933.784761753796
"ENSG00000080824","HSP90AA1",929.368265255969
"ENSG00000189171","S100A13",928.517474063398
"ENSG00000007520","TSR3",915.649272579238
"ENSG00000129946","SHC2",907.26224887018
"ENSG00000258663","RP11-123M6.2",899.742929732371
"ENSG00000100300","TSPO",890.444540744126
"ENSG00000101210","EEF1A2",887.851518374352
"ENSG00000126214","KLC1",886.185000890336
"ENSG00000137216","TMEM63B",883.997980993944
"ENSG00000128564","VGF",877.439114082938
"ENSG00000115310","RTN4",876.326721374744
"ENSG00000144834","TAGLN3",876.239459565297
"ENSG00000154096","THY1",845.452203235098
"ENSG00000107742","SPOCK2",833.127200617271
"ENSG00000181649, ENSG00000274538","PHLDA2",832.082261416497
"ENSG00000173486","FKBP2",829.609699175816
"ENSG00000125148","MT2A",828.73762479345
"ENSG00000120885","CLU",818.454543565827
"ENSG00000260032","NORAD",812.168231299761
"ENSG00000010404","IDS",802.841320801417
"ENSG00000159335","PTMS",798.301195951253
"ENSG00000198961","PJA2",790.27228568084
"ENSG00000233929","MT1XP1",790.166944133828
"ENSG00000242299","RP11-234A1.1",788.180601891159
"ENSG00000172301","COPRS",787.037482816625
"ENSG00000228594","FNDC10",782.440409478022
"ENSG00000186577","C6orf1",781.567551222157
"ENSG00000266953","RP11-618P17.4",777.686025730198
"ENSG00000142534","RPS11",770.280119804206
"ENSG00000108518","PFN1",763.596169421289
"ENSG00000185386","MAPK11",757.062422435914
"ENSG00000168993","CPLX1",741.184201060005
"ENSG00000171314","PGAM1",734.410160977201
"ENSG00000105568","PPP2R1A",725.941128016609
"ENSG00000172020","GAP43",725.548023157238
"ENSG00000111897","SERINC1",719.932043573404
"ENSG00000125534","PPDPF",719.341110219575
"ENSG00000140990","NDUFB10",706.591594273519
"ENSG00000005486","RHBDD2",704.817724162373
"ENSG00000067840","PDZD4",703.173390292929
"ENSG00000148671","ADIRF",700.998520967924
"ENSG00000185236","RAB11B",700.165252359382
"ENSG00000064300","NGFR",698.91310556492
"ENSG00000102780","DGKH",698.073267891334
"ENSG00000242173","ARHGDIG",697.415080062175
"ENSG00000188191","PRKAR1B",697.308827837951
"ENSG00000179085","DPM3",690.687603405627
"ENSG00000176788","BASP1",690.12860279464
"ENSG00000149541","B3GAT3",685.749050362668
