"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000023064 "," Sncg",19817.9473633212
"ENSMUSG00000030695 "," Aldoa",9850.38922844322
"ENSMUSG00000072235 "," Tuba1a",9639.9559319525
"ENSMUSG00000030669 "," Calca",8874.71719840146
"ENSMUSG00000001175 "," Calm1",8800.8154666122
"ENSMUSG00000059412 "," Fxyd2",8037.13972067053
"ENSMUSG00000024661 "," Fth1",7895.51465517144
"ENSMUSG00000014846 "," Tppp3",7174.29700793626
"ENSMUSG00000106106 "," Rn18s-rs5",6794.76684020045
"ENSMUSG00000015656 "," Hspa8",5254.72756654688
"ENSMUSG00000041571 "," Sepw1",5198.16580317695
"ENSMUSG00000002985 "," Apoe",5186.4709782409
"ENSMUSG00000049775 "," Tmsb4x",5149.05121606347
"ENSMUSG00000022055 "," Nefl",4762.2393648769
"ENSMUSG00000019505 "," Ubb",4405.23460680565
"ENSMUSG00000071866 "," Ppia",3931.99873486529
"ENSMUSG00000032231 "," Anxa2",3892.39079003473
"ENSMUSG00000027712 "," Anxa5",3882.53477405089
"ENSMUSG00000036438 "," Calm2",3746.68356866173
"ENSMUSG00000036564 "," Ndrg4",3677.21336644729
"ENSMUSG00000050708 "," Ftl1",3637.29282409485
"ENSMUSG00000023944 "," Hsp90ab1",3576.35469541867
"ENSMUSG00000028843 "," Sh3bgrl3",3400.67488812468
"ENSMUSG00000057666 "," Gapdh",3335.01102044132
"ENSMUSG00000102252 "," Snrpn",3237.29671272097
"ENSMUSG00000032294 "," Pkm",3106.41029150277
"ENSMUSG00000029580 "," Actb",3081.20022076799
"ENSMUSG00000029223 "," Uchl1",2935.45622321596
"ENSMUSG00000031708 "," Tecr",2858.57562092412
"ENSMUSG00000027500 "," Stmn2",2857.49072364232
"ENSMUSG00000027581 "," Stmn3",2851.82719206952
"ENSMUSG00000028937 "," Acot7",2820.18129000201
"ENSMUSG00000006356 "," Crip2",2819.79514012205
"ENSMUSG00000001025 "," S100a6",2627.84187360101
"ENSMUSG00000064370 "," mt-Cytb",2586.6157768925
"ENSMUSG00000041697 "," Cox6a1",2574.22220455462
"ENSMUSG00000035242 "," Oaz1",2565.48786203163
"ENSMUSG00000102349 "," Gm37376",2491.40224934715
"ENSMUSG00000079523 "," Tmsb10",2482.64951873464
"ENSMUSG00000023048 "," Prr13",2473.19804072029
"ENSMUSG00000062825 "," Actg1",2461.87097757468
"ENSMUSG00000046275 "," Tusc5",2419.11866943584
"ENSMUSG00000030342 "," Cd9",2403.32330053637
"ENSMUSG00000056201 "," Cfl1",2392.21689446503
"ENSMUSG00000031633 "," Slc25a4",2383.40899958395
"ENSMUSG00000018217 "," Pmp22",2374.41722380765
"ENSMUSG00000022816 "," Fstl1",2262.72796805052
"ENSMUSG00000027273 "," Snap25",2242.74011474001
"ENSMUSG00000037742 "," Eef1a1",2233.89544367989
"ENSMUSG00000062591 "," Tubb4a",2187.99877223277
"ENSMUSG00000019179 "," Mdh2",2148.02306561176
"ENSMUSG00000054428 "," Atpif1",2139.95069431156
"ENSMUSG00000047557 "," Lxn",2127.48356961559
"ENSMUSG00000036752 "," Tubb4b",2085.22773989384
"ENSMUSG00000025432 "," Avil",2056.26649889656
"ENSMUSG00000019923 "," Zwint",2024.08734223291
"ENSMUSG00000022982 "," Sod1",1999.87022833233
"ENSMUSG00000093674 "," Rpl41",1990.4371384075
"ENSMUSG00000064339 "," mt-Rnr2",1913.28071477283
"ENSMUSG00000022048 "," Dpysl2",1896.84176274009
"ENSMUSG00000022054 "," Nefm",1896.74982229248
"ENSMUSG00000030666 "," Calcb",1892.66766641858
"ENSMUSG00000071658 "," Gng3",1881.96579831672
"ENSMUSG00000001525 "," Tubb5",1877.75492581617
"ENSMUSG00000052727 "," Map1b",1818.23084122423
"ENSMUSG00000028692 "," Akr1a1",1811.38311668621
"ENSMUSG00000044285 "," Gm1821",1811.21210745365
"ENSMUSG00000058672 "," Tubb2a",1805.45663543324
"ENSMUSG00000001270 "," Ckb",1662.13251046231
"ENSMUSG00000007891 "," Ctsd",1660.39667481142
"ENSMUSG00000064351 "," mt-Co1",1659.48646438008
"ENSMUSG00000041959 "," S100a10",1657.81314823357
"ENSMUSG00000020267 "," Hint1",1654.75337013709
"ENSMUSG00000021939 "," Ctsb",1654.67981777901
"ENSMUSG00000064341 "," mt-Nd1",1648.17962813295
"ENSMUSG00000068923 "," Syt11",1644.67485827004
"ENSMUSG00000029622 "," Arpc1b",1618.47734712793
"ENSMUSG00000055839 "," Tceb2",1589.91696648223
"ENSMUSG00000026547 "," Tagln2",1524.0747343305
"ENSMUSG00000020849 "," Ywhae",1516.86476442889
"ENSMUSG00000063229 "," Ldha",1512.1702851739
"ENSMUSG00000032118 "," Fez1",1502.3823051213
"ENSMUSG00000036309 "," Skp1a",1497.91951579429
"ENSMUSG00000022956 "," Atp5o",1493.27836199891
"ENSMUSG00000031760 "," Mt3",1487.6074751903
"ENSMUSG00000036751 "," Cox6b1",1463.96958610966
"ENSMUSG00000025132 "," Arhgdia",1450.93059182955
"ENSMUSG00000061762 "," Tac1",1430.66507836727
"ENSMUSG00000006057 "," Atp5g1",1429.33010306796
"ENSMUSG00000046727 "," Cystm1",1424.64114023983
"ENSMUSG00000035885 "," Cox8a",1423.99755710656
"ENSMUSG00000044894 "," Uqcrq",1418.02694443874
"ENSMUSG00000020163 "," Uqcr11",1407.08235355519
"ENSMUSG00000092341 "," Malat1",1360.55497063746
"ENSMUSG00000038530 "," Rgs4",1353.43510237451
"ENSMUSG00000016319 "," Slc25a5",1345.25424134614
"ENSMUSG00000022841 "," Ap2m1",1327.63845158398
"ENSMUSG00000003072 "," Atp5d",1293.92572825419
"ENSMUSG00000034892 "," Rps29",1279.42671966603
"ENSMUSG00000015291 "," Gdi1",1277.42425671707
"ENSMUSG00000027447 "," Cst3",1249.64169225816
"ENSMUSG00000023004 "," Tuba1b",1226.68232368088
"ENSMUSG00000018286 "," Psmb6",1225.16714510426
"ENSMUSG00000024608 "," Rps14",1220.56092867898
"ENSMUSG00000025393 "," Atp5b",1212.63014566811
"ENSMUSG00000018865 "," Sult4a1",1196.60860326752
"ENSMUSG00000034341 "," Wbp2",1193.17003052689
"ENSMUSG00000006333 "," Rps9",1186.1899117443
"ENSMUSG00000020321 "," Mdh1",1180.20458860486
"ENSMUSG00000029632 "," Ndufa4",1177.80862054014
"ENSMUSG00000025651 , ENSMUSG00000107235 "," Uqcrc1",1171.47392369978
"ENSMUSG00000060240 "," Cend1",1159.65589856394
"ENSMUSG00000014313 "," Cox6c",1158.67581339241
"ENSMUSG00000033307 "," Mif",1152.94792350628
"ENSMUSG00000050856 "," Atp5k",1148.3876773048
"ENSMUSG00000063524 "," Eno1",1148.2221844991
"ENSMUSG00000004285 "," Atp6v1f",1146.95156751313
"ENSMUSG00000047139 "," Cd24a",1145.87034784923
"ENSMUSG00000003380 "," Rabac1",1131.94504765416
"ENSMUSG00000022658 "," Tagln3",1131.40259901325
"ENSMUSG00000025204 "," Ndufb8",1125.71332411512
"ENSMUSG00000004267 "," Eno2",1122.68664457979
"ENSMUSG00000007892 "," Rplp1",1121.00597319747
"ENSMUSG00000033379 "," Atp6v0b",1095.31781213512
"ENSMUSG00000034868 "," Myl12b",1091.93808128096
"ENSMUSG00000037152 "," Ndufc1",1079.69529127715
"ENSMUSG00000035530 "," Eif1",1073.6106724543
"ENSMUSG00000022564 "," Grina",1063.76385051522
"ENSMUSG00000015094 "," Npdc1",1060.48893177134
"ENSMUSG00000021087 "," Rtn1",1057.45489700019
"ENSMUSG00000031840 "," Rab3a",1053.82324931958
"ENSMUSG00000075706 "," Gpx4",1051.04297018384
"ENSMUSG00000100801 "," Gm15459",1049.14899696307
"ENSMUSG00000028964 "," Park7",1047.09136974555
"ENSMUSG00000007564 "," Ppp2r1a",1045.04845299964
"ENSMUSG00000031137 "," Fgf13",1039.23046147486
"ENSMUSG00000078812 "," Eif5a",1036.45202114807
"ENSMUSG00000023484 "," Prph",1034.70883026138
"ENSMUSG00000064337 "," mt-Rnr1",1031.87890328393
"ENSMUSG00000093989 "," Rnasek",1030.50347418768
"ENSMUSG00000030246 "," Ldhb",1016.79331464001
"ENSMUSG00000028249 "," Sdcbp",1011.71452431401
"ENSMUSG00000036427 "," Gpi1",1009.90513630504
"ENSMUSG00000018340 "," Anxa6",1004.42916324536
"ENSMUSG00000025428 "," Atp5a1",1000.78096628418
"ENSMUSG00000038274 "," Fau",992.441967685914
"ENSMUSG00000005161 "," Prdx2",991.58140509628
"ENSMUSG00000033615 "," Cplx1",980.313183837147
"ENSMUSG00000009013 "," Dynll1",968.552161778822
"ENSMUSG00000036578 "," Fxyd7",967.448876407497
"ENSMUSG00000090841 "," Myl6",963.322589118742
"ENSMUSG00000025855 "," Prkar1b",961.665822252802
"ENSMUSG00000018293 "," Pfn1",954.135899593508
"ENSMUSG00000064215 "," Ifi27",949.925027092951
