"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000064339","mt-Rnr2",286860.231282214
"ENSMUSG00000064337","mt-Rnr1",158817.048338628
"ENSMUSG00000098973","Mir6236",47549.6310100295
"ENSMUSG00000064351","mt-Co1",7023.43990588367
"ENSMUSG00000022055","Nefl",4827.69672066122
"ENSMUSG00000064370","mt-Cytb",4682.52549887387
"ENSMUSG00000064341","mt-Nd1",3747.52340665421
"ENSMUSG00000052727","Map1b",3587.29079452579
"ENSMUSG00000023064","Sncg",3531.47670874002
"ENSMUSG00000028367","Txn1",2644.93673412473
"ENSMUSG00000064367","mt-Nd5",2526.18363947
"ENSMUSG00000023944","Hsp90ab1",2469.46317907668
"ENSMUSG00000036438","Calm2",2333.16603204585
"ENSMUSG00000022054","Nefm",2235.54277692169
"ENSMUSG00000029223","Uchl1",2230.68347883704
"ENSMUSG00000036564","Ndrg4",2051.81564615442
"ENSMUSG00000086324","Gm15564",1969.28207723727
"ENSMUSG00000072235","Tuba1a",1909.00744689495
"ENSMUSG00000064368","mt-Nd6",1877.79927682615
"ENSMUSG00000001175","Calm1",1870.39872410765
"ENSMUSG00000027273","Snap25",1773.24271314498
"ENSMUSG00000005873","Reep5",1719.42392501769
"ENSMUSG00000025393","Atp5b",1685.20271723254
"ENSMUSG00000026576","Atp1b1",1634.83093437511
"ENSMUSG00000049775","Tmsb4x",1535.97741384373
"ENSMUSG00000022816","Fstl1",1511.61779684404
"ENSMUSG00000020396","Nefh",1499.76959957041
"ENSMUSG00000064363","mt-Nd4",1416.04026463406
"ENSMUSG00000027712","Anxa5",1387.88217085959
"ENSMUSG00000018217","Pmp22",1385.92656427703
"ENSMUSG00000022285","Ywhaz",1371.55452273211
"ENSMUSG00000033161","Atp1a1",1346.86818950086
"ENSMUSG00000051391","Ywhag",1337.3448921255
"ENSMUSG00000014846","Tppp3",1326.12426865716
"ENSMUSG00000028843","Sh3bgrl3",1295.43382125689
"ENSMUSG00000032549","Rab6b",1276.53464987792
"ENSMUSG00000024758","Rtn3",1246.22404000551
"ENSMUSG00000062380","Tubb3",1240.64460276243
"ENSMUSG00000038530","Rgs4",1219.18483246315
"ENSMUSG00000020849","Ywhae",1216.42477985979
"ENSMUSG00000030669","Calca",1216.07351951881
"ENSMUSG00000027581","Stmn3",1204.94576743132
"ENSMUSG00000060240","Cend1",1203.55580068686
"ENSMUSG00000071658","Gng3",1168.88235634435
"ENSMUSG00000031633","Slc25a4",1159.08903151758
"ENSMUSG00000047139","Cd24a",1146.67823300775
"ENSMUSG00000058297","Spock2",1048.09130022218
"ENSMUSG00000033615","Cplx1",1040.81017769165
"ENSMUSG00000062591","Tubb4a",1031.21468009076
"ENSMUSG00000023484","Prph",1028.7966875553
"ENSMUSG00000031708","Tecr",1022.00757788566
"ENSMUSG00000029580","Actb",996.85362856195
"ENSMUSG00000030695","Aldoa",989.003557785757
