"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000023064","Sncg",12318.339329582
"ENSMUSG00000049775","Tmsb4x",10317.9369228296
"ENSMUSG00000072235","Tuba1a",10128.8060932476
"ENSMUSG00000014846","Tppp3",9955.20781189711
"ENSMUSG00000019505","Ubb",7546.10664951768
"ENSMUSG00000075706","Gpx4",7231.27955369775
"ENSMUSG00000059412","Fxyd2",6863.48747604502
"ENSMUSG00000064351","mt-Co1",6860.9865937299
"ENSMUSG00000071866","Ppia",6755.15778135048
"ENSMUSG00000029223","Uchl1",5618.60609324759
"ENSMUSG00000028367","Txn1",5565.3110692926
"ENSMUSG00000061762","Tac1",5488.3799266881
"ENSMUSG00000001025","S100a6",5373.40245787781
"ENSMUSG00000023944","Hsp90ab1",5311.22503215434
"ENSMUSG00000032399","Rpl4",5171.17589389068
"ENSMUSG00000027500","Stmn2",4698.5815755627
"ENSMUSG00000064339","mt-Rnr2",4328.59146360129
"ENSMUSG00000050708","Ftl1",4282.15266237942
"ENSMUSG00000062825","Actg1",4240.05199726688
"ENSMUSG00000079523","Tmsb10",3814.79522990354
"ENSMUSG00000001175","Calm1",3721.31879421222
"ENSMUSG00000045128","Rpl18a",3662.71782475884
"ENSMUSG00000036438","Calm2",3557.24349839228
"ENSMUSG00000057666","Gapdh",3516.49925884244
"ENSMUSG00000056201","Cfl1",3399.09372122187
"ENSMUSG00000030695","Aldoa",3210.07604180064
"ENSMUSG00000023004","Tuba1b",3146.26344758842
"ENSMUSG00000091269","Gm6682",2937.63977122186
"ENSMUSG00000041959","S100a10",2760.00712508039
"ENSMUSG00000092341","Malat1",2756.39199085209
"ENSMUSG00000029580","Actb",2607.43331028939
"ENSMUSG00000024661","Fth1",2570.97398553055
"ENSMUSG00000035885","Cox8a",2441.34858456592
"ENSMUSG00000001525","Tubb5",2441.34034726688
"ENSMUSG00000062380","Tubb3",2440.71819340836
"ENSMUSG00000021270","Hsp90aa1",2391.13803858521
"ENSMUSG00000032330","Cox7a2",2341.32988424437
"ENSMUSG00000031633","Slc25a4",2289.20451607717
"ENSMUSG00000054428","Atpif1",2270.86975868167
"ENSMUSG00000015656","Hspa8",2158.61785594855
"ENSMUSG00000022055","Nefl",2111.29751961415
"ENSMUSG00000031818","Cox4i1",2029.25748649518
"ENSMUSG00000047139","Cd24a",2021.98075575563
"ENSMUSG00000027581","Stmn3",2008.88774276527
"ENSMUSG00000029632","Ndufa4",1998.01329581994
"ENSMUSG00000012848","Rps5",1982.19525514469
"ENSMUSG00000004207","Psap",1973.53410289389
"ENSMUSG00000021939","Ctsb",1959.6115585209
"ENSMUSG00000058672","Tubb2a",1956.97656189711
"ENSMUSG00000009013","Dynll1",1951.37833778135
"ENSMUSG00000051391","Ywhag",1857.41402250804
"ENSMUSG00000023484","Prph",1838.54726366559
"ENSMUSG00000022174","Dad1",1829.97187487138
"ENSMUSG00000027712","Anxa5",1801.59489324759
"ENSMUSG00000071658","Gng3",1793.34746286174
"ENSMUSG00000064356","mt-Atp8",1774.15164919614
"ENSMUSG00000014313","Cox6c",1700.61977122186
"ENSMUSG00000038274","Fau",1693.75016832797
"ENSMUSG00000093989","Rnasek",1646.49752958199
"ENSMUSG00000007892","Rplp1",1646.01801495177
"ENSMUSG00000038530","Rgs4",1633.38931945338
"ENSMUSG00000022400","Rbx1",1617.9319657717
"ENSMUSG00000020267","Hint1",1613.47543938907
"ENSMUSG00000030654","Arl6ip1",1580.32627379421
"ENSMUSG00000000308","Ckmt1",1572.62918098071
"ENSMUSG00000017778","Cox7c",1522.75983858521
"ENSMUSG00000005873","Reep5",1507.7183107717
"ENSMUSG00000028843","Sh3bgrl3",1490.65418810289
"ENSMUSG00000022054","Nefm",1452.32054884244
"ENSMUSG00000009863","Sdhb",1441.23679578778
"ENSMUSG00000035530","Eif1",1424.86674630225
"ENSMUSG00000037805","Rpl10a",1396.02363954984
"ENSMUSG00000090223","Pcp4",1395.93029018006
"ENSMUSG00000034892","Rps29",1393.9189170418
"ENSMUSG00000031950","Gabarapl2",1391.44906237942
"ENSMUSG00000038633","Degs1",1379.9447944373
"ENSMUSG00000032231","Anxa2",1370.7927511254
"ENSMUSG00000031231","Cox7b",1369.66255594855
"ENSMUSG00000044349","Snhg11",1362.78795205788
"ENSMUSG00000064354","mt-Co2",1328.79991504823
"ENSMUSG00000030669","Calca",1313.39314975884
"ENSMUSG00000074129","Rpl13a",1311.35314678457
"ENSMUSG00000071528","Usmg5",1310.19511434084
"ENSMUSG00000096938","9530052E02Rik",1307.10997837621
"ENSMUSG00000036564","Ndrg4",1291.39563231511
"ENSMUSG00000036309","Skp1a",1276.96465096463
"ENSMUSG00000031760","Mt3",1272.17136983923
"ENSMUSG00000025132","Arhgdia",1270.94248266881
"ENSMUSG00000042043","Tbca",1262.07867636656
"ENSMUSG00000021477","Ctsl",1257.05443419614
"ENSMUSG00000016252","Atp5e",1253.81227974277
"ENSMUSG00000022564","Grina",1235.75907508039
"ENSMUSG00000036751","Cox6b1",1219.69779453376
"ENSMUSG00000075334","Rprm",1213.23978237942
"ENSMUSG00000084291","Gm6654",1205.49138729904
"ENSMUSG00000015671","Psma2",1195.29296287781
"ENSMUSG00000063229","Ldha",1189.57780482315
"ENSMUSG00000018965","Ywhah",1166.85752893891
"ENSMUSG00000006057","Atp5g1",1156.22503057878
"ENSMUSG00000030342","Cd9",1155.03749290997
"ENSMUSG00000028495","Rps6",1145.73985691318
"ENSMUSG00000042682","Selk",1133.6322573955
"ENSMUSG00000041571","Sepw1",1127.27446559486
"ENSMUSG00000030744","Rps3",1122.81437057878
"ENSMUSG00000036578","Fxyd7",1101.80753012862
"ENSMUSG00000025508","Rplp2",1089.25323863344
"ENSMUSG00000027012","Dync1i2",1084.78505032154
"ENSMUSG00000037563","Rps16",1081.71060932476
"ENSMUSG00000041881","Ndufa7",1071.87988530547
"ENSMUSG00000037601","Nme1",1063.2114242283
"ENSMUSG00000028234","Rps20",1059.51129662379
"ENSMUSG00000005625","Psmd4",1053.4396946463
"ENSMUSG00000102627","Snurf",1050.38253102894
"ENSMUSG00000063882","Uqcrh",1048.54049877814
"ENSMUSG00000090841","Myl6",1046.97704807074
"ENSMUSG00000041697","Cox6a1",1042.89856138264
"ENSMUSG00000022816","Fstl1",1037.97550080386
"ENSMUSG00000063694","Cycs",1033.46870675241
"ENSMUSG00000028249","Sdcbp",1017.83542990354
"ENSMUSG00000028832","Stmn1",1017.83140628617
"ENSMUSG00000036752","Tubb4b",1015.10584099678
"ENSMUSG00000009927","Rps25",1009.91159308682
"ENSMUSG00000030844","Rgs10",1006.62083864952
"ENSMUSG00000074657","Kif5a",1004.32853601286
"ENSMUSG00000027273","Snap25",996.602154581994
"ENSMUSG00000019054","Fis1",996.024805305466
"ENSMUSG00000003380","Rabac1",983.371945900322
"ENSMUSG00000072772","Grcc10",975.882663022508
"ENSMUSG00000021290","2010107E04Rik",975.786585482315
"ENSMUSG00000031176","Dynlt3",972.943582893891
"ENSMUSG00000026238","Ptma",971.637415594855
"ENSMUSG00000024758","Rtn3",959.855004501608
"ENSMUSG00000050856","Atp5k",957.187302813505
"ENSMUSG00000037012","Hk1",951.051836446945
"ENSMUSG00000038717","Atp5l",950.562589951768
"ENSMUSG00000056296","Synpr",942.163954643087
"ENSMUSG00000026576","Atp1b1",932.360811254019
"ENSMUSG00000027523","Gnas",929.91032073955
"ENSMUSG00000014769","Psmb1",928.477171221865
"ENSMUSG00000000214","Th",922.34442118328
"ENSMUSG00000067288","Rps28",921.665935530547
"ENSMUSG00000020460","Rps27a",909.670688038585
"ENSMUSG00000047459","Dynlrb1",901.738359163987
"ENSMUSG00000059534","Uqcr10",895.582500482315
"ENSMUSG00000079641","Rpl39",894.668099356913
"ENSMUSG00000030647","Ndufc2",893.738531350482
"ENSMUSG00000068220","Lgals1",888.492395819936
"ENSMUSG00000047557","Lxn",883.708776318328
"ENSMUSG00000018770","Atp5g3",878.881062861736
"ENSMUSG00000022884","Eif4a2",874.723509003215
"ENSMUSG00000037742","Eef1a1",873.067297106109
"ENSMUSG00000064341","mt-Nd1",872.051362829582
"ENSMUSG00000064358","mt-Co3",866.434946623794
"ENSMUSG00000039126","Prune2",858.787676045016
"ENSMUSG00000028410","Dnaja1",854.036825241158
"ENSMUSG00000047126","Cltc",848.537777009646
"ENSMUSG00000021660","Btf3",845.942989823151
"ENSMUSG00000084786","Ubl5",837.694502250804
"ENSMUSG00000031708","Tecr",836.160253247588
"ENSMUSG00000038690","Atp5j2",833.969675884244
"ENSMUSG00000009549","Srp14",829.367756752412
"ENSMUSG00000020396","Nefh",825.831822861736
"ENSMUSG00000020849","Ywhae",824.280678135048
