"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000023064","Sncg",21578.4942745007
"ENSMUSG00000041571","Sepw1",13142.0559598003
"ENSMUSG00000049775","Tmsb4x",12677.8762871164
"ENSMUSG00000050708","Ftl1",10905.9305031345
"ENSMUSG00000023484","Prph",8813.63022212423
"ENSMUSG00000024661","Fth1",8293.90076376973
"ENSMUSG00000072235","Tuba1a",7549.07708457982
"ENSMUSG00000036438","Calm2",6693.88040859011
"ENSMUSG00000062380","Tubb3",6335.95745613403
"ENSMUSG00000007892","Rplp1",6254.89015398697
"ENSMUSG00000031633","Slc25a4",5814.38447105665
"ENSMUSG00000028843","Sh3bgrl3",5174.96719419401
"ENSMUSG00000079523","Tmsb10",4809.39178507441
"ENSMUSG00000014846","Tppp3",4782.9411959469
"ENSMUSG00000042750","Bex2",4728.5458758861
"ENSMUSG00000027602","Map1lc3a",4563.29732673467
"ENSMUSG00000020267","Hint1",4531.00132155472
"ENSMUSG00000057841","Rpl32",4387.71007391915
"ENSMUSG00000093674","Rpl41",4382.14597917866
"ENSMUSG00000028081","Rps3a1",4366.8914189659
"ENSMUSG00000027581","Stmn3",4327.51409927885
"ENSMUSG00000035885","Cox8a",4258.60501995867
"ENSMUSG00000039278","Pcsk1n",4254.45292589283
"ENSMUSG00000030844","Rgs10",4120.57842070383
"ENSMUSG00000020635","Fkbp1b",4042.14225818067
"ENSMUSG00000002985","Apoe",3905.10056013796
"ENSMUSG00000023944","Hsp90ab1",3862.74864425984
"ENSMUSG00000060036","Rpl3",3780.45169042033
"ENSMUSG00000044533","Rps2",3723.22687114868
"ENSMUSG00000042682","Selk",3690.4703316167
"ENSMUSG00000046432","Ngfrap1",3678.78687676892
"ENSMUSG00000001525","Tubb5",3548.90824424645
"ENSMUSG00000018965","Ywhah",3476.37137067237
"ENSMUSG00000031818","Cox4i1",3361.44962659541
"ENSMUSG00000025794","Rpl14",3351.67194876943
"ENSMUSG00000031320","Rps4x",3319.71480901057
"ENSMUSG00000038274","Fau",3250.2794103688
