sample ,genotype
RNAseq100,MM
RNAseq101,MM
RNAseq102,MM
RNAseq103,MM
RNAseq104,MM
RNAseq105,MM
RNAseq106,MM
RNAseq107,MM
RNAseq108,MM
RNAseq109,MM
RNAseq110,MM
RNAseq111,MM
RNAseq33,HD
RNAseq34,HD
RNAseq35,HD
RNAseq36,HD
RNAseq37,HD
RNAseq38,HD
RNAseq39,HD
RNAseq40,HD
RNAseq41,HD
RNAseq42,HD
RNAseq43,HD
RNAseq44,HD
RNAseq45,HD
RNAseq46,HD
RNAseq47,HD
RNAseq48,HD
RNAseq49,HD
RNAseq50,HD
RNAseq51,HD
RNAseq52,HD
RNAseq53,HD
RNAseq54,HD
RNAseq55,HD
RNAseq56,HD
RNAseq57,HD
RNAseq58,HD
RNAseq59,HD
RNAseq60,HD
RNAseq61,HD
RNAseq62,HD
RNAseq63,HD
RNAseq64,HD
RNAseq80,MM
RNAseq81,MM
RNAseq82,MM
RNAseq83,MM
RNAseq84,MM
RNAseq85,MM
RNAseq86,MM
RNAseq87,MM
RNAseq88,MM
RNAseq89,MM
RNAseq90,MM
RNAseq91,MM
RNAseq92,MM
RNAseq93,MM
RNAseq94,MM
RNAseq95,MM
RNAseq96,MM
RNAseq97,MM
RNAseq98,MM
RNAseq99,MM
