"GENEID","SYMBOL","tpm_counts"
"ENSG00000198938","MT-CO3",29780.9489306
"ENSG00000198712","MT-CO2",26951.2404102459
"ENSG00000198840","MT-ND3",23486.6015342637
"ENSG00000210082","MT-RNR2",18502.8964679016
"ENSG00000175602","CCDC85B",12880.8952434088
"ENSG00000251562, ENSG00000278217","MALAT1",11578.1454203747
"ENSG00000230876","LINC00486",10483.4190754846
"ENSG00000211459","MT-RNR1",10337.09852166
"ENSG00000243449","C4orf48",8880.88403879091
"ENSG00000198804","MT-CO1",8133.42795732776
"ENSG00000198899","MT-ATP6",7997.37182132081
"ENSG00000006128","TAC1",7406.06875058185
"ENSG00000278996","CH507-513H4.1",6643.85017562139
"ENSG00000104435","STMN2",6301.75069213594
"ENSG00000197746","PSAP",5813.23256419454
"ENSG00000198888","MT-ND1",5696.87260493669
"ENSG00000198886","MT-ND4",4987.07513776146
"ENSG00000034510","TMSB10",4882.0869290587
"ENSG00000096384","HSP90AB1",3914.61132344645
"ENSG00000184524","CEND1",3809.67509809665
"ENSG00000198763","MT-ND2",3660.33128081438
"ENSG00000101460","MAP1LC3A",3340.64769297549
"ENSG00000008282","SYPL1",3105.20242412608
"ENSG00000198727","MT-CYB",3041.59133884034
"ENSG00000158710","TAGLN2",2992.53169617054
"ENSG00000130522","JUND",2930.21041809981
"ENSG00000258199","RP11-977G19.5",2728.41272053014
"ENSG00000280441","CH507-528H12.1",2650.36661433921
"ENSG00000104722","NEFM",2590.06868488978
"ENSG00000264364","DYNLL2",2516.37027002196
"ENSG00000132563","REEP2",2425.60327469526
"ENSG00000185774, ENSG00000281758","KCNIP4",2421.275867905
"ENSG00000205542","TMSB4X",2411.11758664215
"ENSG00000173267","SNCG",2405.81002482367
"ENSG00000170027","YWHAG",2323.18958128035
"ENSG00000171951","SCG2",2266.72918465658
"ENSG00000212907","MT-ND4L",2256.0218186328
"ENSG00000268797","CTC-490E21.12",2240.93137168542
"ENSG00000171867","PRNP",2209.54577824445
"ENSG00000089220","PEBP1",2065.28813779726
"ENSG00000183690","EFHC2",2028.21454577596
"ENSG00000154277","UCHL1",2008.4106267303
"ENSG00000131711","MAP1B",1931.77576777667
"ENSG00000100285","NEFH",1792.74509734834
"ENSG00000277199","CH17-125A10.2",1774.76673419602
"ENSG00000183783","KCTD8",1773.79523520822
"ENSG00000166681","BEX3",1730.40743808802
"ENSG00000133169","BEX1",1664.02073763307
"ENSG00000236824","BCYRN1",1632.14501571088
"ENSG00000258982","RP11-638I2.4",1609.04739981038
"ENSG00000167508","MVD",1540.67001025563
"ENSG00000277586","NEFL",1539.26580429052
"ENSG00000117450","PRDX1",1532.14689502868
"ENSG00000185825","BCAP31",1488.5233326211
"ENSG00000141522","ARHGDIA",1446.14771186099
"ENSG00000184368","MAP7D2",1444.16717883621
"ENSG00000143862","ARL8A",1444.02970077552
"ENSG00000165169","DYNLT3",1431.70615413235
"ENSG00000126950","TMEM35A",1401.47136578422
"ENSG00000163399","ATP1A1",1357.53366270623
"ENSG00000130748","TMEM160",1311.48655340368
"ENSG00000258663","RP11-123M6.2",1307.8561407991
"ENSG00000143256","PFDN2",1272.62769256209
"ENSG00000182154","MRPL41",1269.34772428229
"ENSG00000176153","GPX2",1269.30366500689
"ENSG00000129355","CDKN2D",1267.1312938899
"ENSG00000105568","PPP2R1A",1263.09972319244
"ENSG00000167552","TUBA1A",1244.83161295735
"ENSG00000168993","CPLX1",1199.48817000105
"ENSG00000162188","GNG3",1193.08846177696
"ENSG00000126214","KLC1",1176.24354754336
"ENSG00000179399","GPC5",1172.94453194073
"ENSG00000181649, ENSG00000274538","PHLDA2",1172.85368146522
"ENSG00000137216","TMEM63B",1149.24751626624
"ENSG00000160014","CALM3",1128.95568371697
"ENSG00000166974","MAPRE2",1117.17879171866
"ENSG00000198695","MT-ND6",1112.64021121143
"ENSG00000033627","ATP6V0A1",1059.82421514026
"ENSG00000137285","TUBB2B",1057.25992920543
"ENSG00000144834","TAGLN3",1051.25277051676
"ENSG00000042753","AP2S1",1047.58986887733
"ENSG00000188573","FBLL1",1046.32961038846
"ENSG00000175868","CALCB",1038.33234540427
"ENSG00000138078","PREPL",1019.53768308003
"ENSG00000184009","ACTG1",1013.35963722892
"ENSG00000272398","CD24",1009.96325601585
"ENSG00000198355","PIM3",992.684339807874
"ENSG00000242173","ARHGDIG",985.460080117074
"ENSG00000184900","SUMO3",974.734058084252
"ENSG00000111404","RERGL",953.854584289599
"ENSG00000106211","HSPB1",952.706498128738
"ENSG00000262413","RP11-498C9.3",946.955251552108
"ENSG00000183570","PCBP3",926.103631169529
"ENSG00000137267","TUBB2A",921.96557293972
"ENSG00000105404","RABAC1",916.885391972844
"ENSG00000197747","S100A10",916.744652053127
"ENSG00000087250","MT3",910.69813735161
"ENSG00000160469","BRSK1",903.778088192806
"ENSG00000253893","FAM85B",889.393216961007
"ENSG00000121653","MAPK8IP1",874.249383998487
"ENSG00000185386","MAPK11",862.858619677981
"ENSG00000128245","YWHAH",861.89668141747
"ENSG00000174684","B4GAT1",847.467319934846
"ENSG00000198786","MT-ND5",843.853296144235
"ENSG00000099795","NDUFB7",834.938916054755
"ENSG00000234717","TMEM212-AS1",831.313250786528
"ENSG00000130226","DPP6",829.070975822413
"ENSG00000118785","SPP1",827.032465311213
"ENSG00000185818","NAT8L",825.547868267863
"ENSG00000142669","SH3BGRL3",823.721348952861
