"Name","Score"
"MT-CO3",4.45787692023777e-23
"MALAT1",1.28043154733655e-21
"MT-CO2",5.25325206042379e-20
"MT-RNR2",1.91454669031911e-18
"MT-ND3",5.8425627650684e-18
"CCDC85B",1.16860568737881e-17
"TMSB10",2.00067429271338e-17
"C4orf48",5.16977052360288e-17
"STMN2",1.03113402021872e-16
"TAC1",1.33111491577993e-16
"MT-CO1",1.86934799760752e-16
"PEBP1",3.35657447544992e-16
"NEFH",3.73264991790697e-16
"SNCG",5.60721405727324e-16
"MAP1B",5.60721405727324e-16
"MT-ATP6",1.00526314943809e-15
"CEND1",1.17452609490539e-15
"NEFL",1.28043154733655e-15
"YWHAG",1.93702714136441e-15
"PSAP",2.2683625924311e-15
"MAP1LC3A",2.64563954483983e-15
"ARL8A",3.30865313510586e-15
"NEFM",3.5582518182021e-15
"ACTG1",4.10470244429577e-15
"BCYRN1",5.40889020206303e-15
"HSP90AB1",5.40889020206303e-15
"JUND",6.5992577293998e-15
"MT-ND4",7.63216131671539e-15
"CDKN2D",1.29954545269862e-14
"MT-ND1",1.48788489511885e-14
"MT-RNR1",1.82473802340275e-14
"TMEM160",2.14820766428796e-14
"LINC00486",2.2200081568826e-14
"UCHL1",2.26588981128033e-14
"YWHAH",2.38889594746045e-14
"S100A10",2.7917935282437e-14
"TMSB4X",3.24979227485333e-14
"REEP2",5.25325206042383e-14
"MRPL41",6.02390302046414e-14
"MT-ND2",7.31086866358355e-14
"PFDN2",7.51696700739448e-14
"PTMS",8.92273904948956e-14
"RP11-977G19.5",9.70382773603566e-14
"MT-CYB",1.12946774246948e-13
"TAGLN2",1.56861266003926e-13
"THY1",1.82594638652939e-13
"CADM3",1.96724392542515e-13
"S100A6",3.02039411482563e-13
"EDIL3",3.58002707855947e-13
"SPOCK2",3.95545505060352e-13
"MVD",4.36313344662689e-13
"BEX1",5.45224669503458e-13
"MT3",6.9654326878715e-13
"PRNP",9.33434598008348e-13
"CLTB",9.60423675765579e-13
"ATP1A1",1.07497628938984e-12
"DYNLL2",1.23396888979583e-12
"RTN4",1.26800734082872e-12
"CALM3",1.41209278605466e-12
"RTN3",1.52889340637468e-12
"ACTB",1.83305416997613e-12
"TMEM63B",1.83305416997613e-12
"EBF1",2.24081378380459e-12
"TMEM233",2.35377329863434e-12
"BEX3",2.41200813549216e-12
"LSAMP",2.59396557546933e-12
"TLX3",2.92260703541294e-12
"CPLX1",3.28523703591812e-12
"TUBA1A",3.36674345011054e-12
