"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000023064 "," Sncg",19684.5130024435
"ENSMUSG00000030669 "," Calca",11334.1779177991
"ENSMUSG00000072235 "," Tuba1a",8933.3947038059
"ENSMUSG00000030695 "," Aldoa",8467.38814630984
"ENSMUSG00000024661 "," Fth1",8457.68984891064
"ENSMUSG00000001175 "," Calm1",7432.17908555436
"ENSMUSG00000059412 "," Fxyd2",7334.00066170931
"ENSMUSG00000014846 "," Tppp3",6894.07511579549
"ENSMUSG00000002985 "," Apoe",6656.71938934314
"ENSMUSG00000049775 "," Tmsb4x",6207.38178050197
"ENSMUSG00000041571 "," Sepw1",5999.79443912217
"ENSMUSG00000015656 "," Hspa8",5039.5619726699
"ENSMUSG00000106106 "," Rn18s-rs5",4689.2109791237
"ENSMUSG00000064370 "," mt-Cytb",4464.51691872032
"ENSMUSG00000022055 "," Nefl",4450.15468316212
"ENSMUSG00000036438 "," Calm2",4040.28375679271
"ENSMUSG00000050708 "," Ftl1",3787.18513438852
"ENSMUSG00000027712 "," Anxa5",3744.5698727264
"ENSMUSG00000019505 "," Ubb",3743.87954252959
"ENSMUSG00000032231 "," Anxa2",3480.93108682933
"ENSMUSG00000044285 "," Gm1821",3419.12127823129
"ENSMUSG00000071866 "," Ppia",3204.36123773333
"ENSMUSG00000028843 "," Sh3bgrl3",3201.83563945229
"ENSMUSG00000102252 "," Snrpn",3016.81030938313
"ENSMUSG00000027581 "," Stmn3",3012.06218461478
"ENSMUSG00000064339 "," mt-Rnr2",2992.81712571323
"ENSMUSG00000035242 "," Oaz1",2973.7572773523
"ENSMUSG00000030342 "," Cd9",2854.95313421207
"ENSMUSG00000029223 "," Uchl1",2826.48122292379
"ENSMUSG00000079523 "," Tmsb10",2796.477115345
"ENSMUSG00000023944 "," Hsp90ab1",2792.68871792344
"ENSMUSG00000001025 "," S100a6",2787.0313777739
"ENSMUSG00000057666 "," Gapdh",2761.30394995102
