"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000023064 "," Sncg",22320.120015117
"ENSMUSG00000030669 "," Calca",12595.0876886632
"ENSMUSG00000072235 "," Tuba1a",8566.71849794842
"ENSMUSG00000049775 "," Tmsb4x",8142.25665224528
"ENSMUSG00000024661 "," Fth1",8017.13542563688
"ENSMUSG00000030695 "," Aldoa",7694.90116719879
"ENSMUSG00000001175 "," Calm1",7559.64530172954
"ENSMUSG00000059412 "," Fxyd2",7402.63155871129
"ENSMUSG00000064340 "," mt-Tl1",6921.78785412322
"ENSMUSG00000041571 "," Sepw1",6521.22774810775
"ENSMUSG00000014846 "," Tppp3",6499.62160492719
"ENSMUSG00000106106 "," Rn18s-rs5",5470.85618182246
"ENSMUSG00000064370 "," mt-Cytb",4805.69569075219
"ENSMUSG00000036438 "," Calm2",4536.93792499893
"ENSMUSG00000015656 "," Hspa8",4428.03506463227
"ENSMUSG00000019505 "," Ubb",4412.86849773138
"ENSMUSG00000071866 "," Ppia",4100.69934699493
"ENSMUSG00000002985 "," Apoe",3610.17365630061
"ENSMUSG00000050708 "," Ftl1",3554.10091055685
"ENSMUSG00000028843 "," Sh3bgrl3",3509.85517919779
"ENSMUSG00000032231 "," Anxa2",3446.61092635181
"ENSMUSG00000064339 "," mt-Rnr2",3421.8348261057
"ENSMUSG00000079523 "," Tmsb10",3388.29353113384
"ENSMUSG00000027712 "," Anxa5",3356.62387730528
"ENSMUSG00000054428 "," Atpif1",3347.43162575826
"ENSMUSG00000064341 "," mt-Nd1",3190.52186253184
"ENSMUSG00000022055 "," Nefl",3170.08573440079
"ENSMUSG00000041697 "," Cox6a1",3112.66716345129
"ENSMUSG00000102349 "," Gm37376",3080.19775805347
"ENSMUSG00000030342 "," Cd9",3042.51113544588
"ENSMUSG00000023944 "," Hsp90ab1",3023.11184436993
"ENSMUSG00000027500 "," Stmn2",2991.33196705316
"ENSMUSG00000027581 "," Stmn3",2922.40425139167
"ENSMUSG00000102252 "," Snrpn",2908.9894621597
"ENSMUSG00000029223 "," Uchl1",2811.48412396547
"ENSMUSG00000001025 "," S100a6",2719.5508298956
"ENSMUSG00000031708 "," Tecr",2702.70684577789
"ENSMUSG00000057666 "," Gapdh",2679.84774730324
"ENSMUSG00000029580 "," Actb",2669.39955403648
"ENSMUSG00000064351 "," mt-Co1",2636.9369570455
"ENSMUSG00000035242 "," Oaz1",2551.2439781577
"ENSMUSG00000036564 "," Ndrg4",2474.60418016774
"ENSMUSG00000020267 "," Hint1",2473.45045500165
"ENSMUSG00000041959 "," S100a10",2382.11537089862
"ENSMUSG00000006356 "," Crip2",2371.9283258406
"ENSMUSG00000031633 "," Slc25a4",2366.63873099537
"ENSMUSG00000093674 "," Rpl41",2330.669614153
"ENSMUSG00000023048 "," Prr13",2264.84108878081
"ENSMUSG00000028937 "," Acot7",2235.58893285347
"ENSMUSG00000030666 "," Calcb",2208.0049486245
"ENSMUSG00000044285 "," Gm1821",2180.48924272496
"ENSMUSG00000036751 "," Cox6b1",2157.36347349606
"ENSMUSG00000092341 "," Malat1",2155.40353832914
