"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000101249","Gm29216",16931.5673256799
"ENSMUSG00000044285","Ubb-ps",15526.5480013526
"ENSMUSG00000062933","Gm10123",14101.2565354082
"ENSMUSG00000019505","Ubb",10620.2232745481
"ENSMUSG00000101111","Gm28437",9796.3284505041
"ENSMUSG00000064358","mt-Co3",9753.2287725864
"ENSMUSG00000100862","Gm10925",9726.83894074874
"ENSMUSG00000008348","Ubc",9628.88509108553
"ENSMUSG00000064351","mt-Co1",9440.82364166587
"ENSMUSG00000064357","mt-Atp6",7978.19745643544
"ENSMUSG00000030669","Calca",7047.65746643408
"ENSMUSG00000087701","Gm13493",6063.37532581349
"ENSMUSG00000102070","Gm28661",5949.07096957225
"ENSMUSG00000064354","mt-Co2",5909.50865102669
"ENSMUSG00000064339","mt-Rnr2",5749.11222448215
"ENSMUSG00000062825","Actg1",5257.87058943513
"ENSMUSG00000049775","Tmsb4x",5043.29771544241
"ENSMUSG00000064341","mt-Nd1",4760.10304002957
"ENSMUSG00000064370","mt-Cytb",4315.68941226632
"ENSMUSG00000058542","Gm15590",4083.78886044625
"ENSMUSG00000072235","Tuba1a",3720.70707454791
"ENSMUSG00000082062","Ftl2-ps",3546.72278900657
"ENSMUSG00000023064","Sncg",3460.46891247066
"ENSMUSG00000096842","Gm10736",3269.36229521998
"ENSMUSG00000018965","Ywhah",3169.54491587005
"ENSMUSG00000103034","Gm8797",3130.54343335391
"ENSMUSG00000059195","Gm12715",3034.39543138162
"ENSMUSG00000100801","Gm15459",2774.46613314256
"ENSMUSG00000041959","S100a10",2764.38067716807
"ENSMUSG00000032231","Anxa2",2678.80789661004
"ENSMUSG00000064363","mt-Nd4",2678.25614737163
"ENSMUSG00000108772","Gm6063",2668.15693990923
"ENSMUSG00000036438","Calm2",2653.91391160114
"ENSMUSG00000030666","Calcb",2526.65652857796
"ENSMUSG00000030695, ENSMUSG00000114515","Aldoa",2454.49315545027
"ENSMUSG00000029223","Uchl1",2431.1337027998
"ENSMUSG00000062382","Ftl1-ps1",2387.44023977916
"ENSMUSG00000027712","Anxa5",2295.26435380333
"ENSMUSG00000064345","mt-Nd2",2273.27124582777
"ENSMUSG00000062380","Tubb3",2208.71516858728
"ENSMUSG00000084830","Gm14539",2174.19740306815
"ENSMUSG00000095762","Gm16378",2151.07597599101
"ENSMUSG00000001025","S100a6",2146.64726355995
"ENSMUSG00000062038","Gm10108",2117.8372507113
"ENSMUSG00000062081","Gm6055",2111.8568266992
"ENSMUSG00000080242","Atp6v0c-ps2",2088.51313092423
"ENSMUSG00000014846","Tppp3",2081.12239546508
"ENSMUSG00000092341","Malat1",2037.54322431225
"ENSMUSG00000064337","mt-Rnr1",2009.50008427928
"ENSMUSG00000027581","Stmn3",1998.44584145847
"ENSMUSG00000043889","Gm8399",1927.06791187269
"ENSMUSG00000039105","Atp6v1g1",1874.94738275509
"ENSMUSG00000116620","Gm4828",1762.33929069806
"ENSMUSG00000066270","Gm10157",1730.73692518045
"ENSMUSG00000036309","Skp1",1708.90422904848
"ENSMUSG00000058927","Gm10053",1700.36124822994
"ENSMUSG00000030342","Cd9",1682.80319111252
"ENSMUSG00000047261","Gap43",1681.97770344613
"ENSMUSG00000081485","Gm12338",1653.80016564748
"ENSMUSG00000068220","Lgals1",1651.73181653805
"ENSMUSG00000024661","Fth1",1645.24883371662
"ENSMUSG00000021939","Ctsb",1621.83373510312
"ENSMUSG00000064193","Gm4735",1603.09612672992
"ENSMUSG00000044734","Serpinb1a",1596.24512743704
"ENSMUSG00000091421","Gm4202",1574.32477233168
"ENSMUSG00000027500","Stmn2",1562.21789019116
"ENSMUSG00000035885","Cox8a",1559.12184570488
"ENSMUSG00000066809","Gm10180",1538.14897522621
"ENSMUSG00000082329","Gm14287",1511.03861485409
"ENSMUSG00000023944","Hsp90ab1",1509.19110405114
"ENSMUSG00000071866","Ppia",1500.50867616284
"ENSMUSG00000028832","Stmn1",1485.29592246868
"ENSMUSG00000094955","Gm3699",1472.33159669333
"ENSMUSG00000035530","Eif1",1467.93933273515
"ENSMUSG00000057990","Gm53055",1455.56284159448
"ENSMUSG00000006356","Crip2",1454.29290784112
"ENSMUSG00000084319","Tpt1-ps3",1453.01640773811
"ENSMUSG00000025393","Atp5b",1451.83349716158
"ENSMUSG00000064368","mt-Nd6",1447.56013794295
"ENSMUSG00000050711","Scg2",1422.15995841221
"ENSMUSG00000046341","Gm11223",1421.83379515491
"ENSMUSG00000064367","mt-Nd5",1405.134296607
"ENSMUSG00000031818","Cox4i1",1316.131605359
"ENSMUSG00000058672","Tubb2a",1311.2401905109
"ENSMUSG00000059040","Eno1b",1308.39785940168
"ENSMUSG00000113753","Gm5791",1290.44861273401
"ENSMUSG00000015656","Hspa8",1288.53376704755
"ENSMUSG00000019923","Zwint",1286.84103409887
"ENSMUSG00000081344","Gm14303",1283.73508251914
"ENSMUSG00000018217","Pmp22",1274.52237491908
"ENSMUSG00000041697","Cox6a1",1213.81725811557
"ENSMUSG00000023484","Prph",1207.24254541861
"ENSMUSG00000022285","Ywhaz",1206.20405280562
"ENSMUSG00000067719","Gm10221",1205.37546685053
"ENSMUSG00000011752","Pgam1",1200.39817060015
"ENSMUSG00000036751","Cox6b1",1184.06151131638
"ENSMUSG00000091478","Gm10039",1182.76318798185
"ENSMUSG00000080977","Gm13772",1180.44430773015
"ENSMUSG00000001175","Calm1",1176.5699659613
"ENSMUSG00000042750","Bex2",1163.35792329176
"ENSMUSG00000015837","Sqstm1",1154.53690660622
"ENSMUSG00000028843","Sh3bgrl3",1153.13175005093
"ENSMUSG00000093798","Gm8355",1152.2464407481
"ENSMUSG00000083240","Gm13453",1105.33648268052
"ENSMUSG00000061724","Gm2423",1097.74137698915
"ENSMUSG00000050708","Ftl1",1096.31457453991
"ENSMUSG00000058050","Gm9234",1086.19458783415
"ENSMUSG00000028937","Acot7",1067.22472420283
"ENSMUSG00000020267","Hint1",1064.47534456565
"ENSMUSG00000074553","Eif1-ps1",1061.68698692211
"ENSMUSG00000036564","Ndrg4",1054.71851023815
"ENSMUSG00000091498","Mpc1-ps",1037.00421464281
"ENSMUSG00000100131","Gm28439",1034.58818217799
"ENSMUSG00000108506","Gm44705",1033.32894984926
"ENSMUSG00000020635","Fkbp1b",1032.05033073875
"ENSMUSG00000106133","Gm3724",1025.95800436559
"ENSMUSG00000005054","Cstb",1020.16002437026
"ENSMUSG00000110841","Gpx4-ps2",1007.68569846678
"ENSMUSG00000083773","Gm13394",1000.25062873548
"ENSMUSG00000095937","Gm12671",996.497545040556
"ENSMUSG00000043091","Tuba1c",993.798124762983
"ENSMUSG00000075245","Gm6043",987.128256443789
"ENSMUSG00000043801","Oaz1-ps",986.776522388809
"ENSMUSG00000078965","Gm12033",982.205137641738
"ENSMUSG00000027447","Cst3",981.419161551063
"ENSMUSG00000023048","Prr13",972.250257877838
"ENSMUSG00000084817","Gm5526",971.11283371942
"ENSMUSG00000094708","Gm10359",959.540793040474
"ENSMUSG00000029819","Npy",947.151191488614
"ENSMUSG00000082016","Pgam1-ps2",941.553275080964
"ENSMUSG00000037852","Cpe",940.296877666705
"ENSMUSG00000076432","Ywhaq",933.347269370411
"ENSMUSG00000114547","Gm3226",931.683801237088
"ENSMUSG00000003380","Rabac1",920.982278247017
"ENSMUSG00000032802","Srxn1",919.492346247943
"ENSMUSG00000031633","Slc25a4",906.861877032507
"ENSMUSG00000084838","Gm10241",898.598277812581
"ENSMUSG00000016427","Ndufa1",892.892392104605
"ENSMUSG00000095042","Gm12537",884.93507703465
"ENSMUSG00000081272","Ap2m1-ps",884.393994779516
"ENSMUSG00000085939","Cd63-ps",879.319350573825
"ENSMUSG00000115593","Gm4824",875.076998495753
"ENSMUSG00000018770","Atp5g3",872.265524443366
"ENSMUSG00000022055","Nefl",871.687509757525
"ENSMUSG00000081221","Gm14760",862.079593842324
"ENSMUSG00000093674","Rpl41",860.481466313781
"ENSMUSG00000079941","Cox5b-ps",859.478322742262
"ENSMUSG00000019877","Serinc1",853.468030510678
"ENSMUSG00000031812","Map1lc3b",843.888796501365
"ENSMUSG00000020612","Prkar1a",835.077235537765
"ENSMUSG00000116875","Morf4l1-ps1",831.56696675833
"ENSMUSG00000117256","Gm5497",824.716800186269
"ENSMUSG00000029632","Ndufa4",821.630298264494
"ENSMUSG00000047459","Dynlrb1",817.392739292756
"ENSMUSG00000031950","Gabarapl2",801.737591234518
"ENSMUSG00000083713","Gm5883",800.39011671976
"ENSMUSG00000118499","Gm31332",792.519059832359
"ENSMUSG00000032330","Cox7a2",790.690072487322
"ENSMUSG00000096617","Gm5559",786.240623065933
"ENSMUSG00000117969","Gm5826",780.502287027758
"ENSMUSG00000081824","Ndufs5-ps",777.242197851109
"ENSMUSG00000078193","Gm2000",773.528726456376
"ENSMUSG00000028249","Sdcbp",772.067753177414
"ENSMUSG00000033379","Atp6v0b",768.78621248976
"ENSMUSG00000055795","Gm5160",767.744357266337
"ENSMUSG00000095588","Gm12350",766.694768400895
"ENSMUSG00000024587","Nars",766.282615757087
"ENSMUSG00000021270","Hsp90aa1",765.958935076369
"ENSMUSG00000096544","Gm4617",762.414478427275
"ENSMUSG00000050299","Gm9843",746.986851309199
"ENSMUSG00000060143","Gm10076",745.947348009425
"ENSMUSG00000081201","Smt3h2-ps4",742.516870198512
"ENSMUSG00000093826","Gm6900",738.375189746732
"ENSMUSG00000032966","Fkbp1a",733.81752059811
"ENSMUSG00000047786","Lix1",727.302780105514
"ENSMUSG00000019179","Mdh2",726.503580087232
"ENSMUSG00000047139","Cd24a",725.321992620854
"ENSMUSG00000086922","Gm13835",723.406183583327
"ENSMUSG00000068706","Gm10250",721.08013413191
"ENSMUSG00000026385","Dbi",720.496396439789
"ENSMUSG00000020737","Jpt1",716.968019888807
"ENSMUSG00000001525","Tubb5",714.50950523833
"ENSMUSG00000004951","Hspb1",710.12864296111
"ENSMUSG00000083380","Ndufb4c",707.823042464329
"ENSMUSG00000020738","Sumo2",707.038214740997
"ENSMUSG00000106252","Mir684-1",703.107905742056
"ENSMUSG00000082185","Gm12428",695.905693462076
"ENSMUSG00000032294","Pkm",694.219336007276
"ENSMUSG00000028692","Akr1a1",693.408905850268
"ENSMUSG00000081051","Gm15427",693.271799245967
"ENSMUSG00000078812","Eif5a",693.172350965073
"ENSMUSG00000025151","Maged1",691.174738073547
"ENSMUSG00000024121","Atp6v0c",690.755186719252
"ENSMUSG00000023456","Tpi1",683.891642053298
"ENSMUSG00000041571","Selenow",681.723225000223
"ENSMUSG00000082809","Gm14150",678.657821387606
"ENSMUSG00000021477","Ctsl",678.413162125382
"ENSMUSG00000114277","Gm48583",678.250439506473
"ENSMUSG00000089803","Gm10171",676.453790621433
"ENSMUSG00000059412","Fxyd2",675.433210524511
"ENSMUSG00000024261","Syt4",673.262058845129
"ENSMUSG00000068165","Gm10233",673.175506577919
"ENSMUSG00000083899","Gm12346",672.355022067519
"ENSMUSG00000069622","Gm10273",671.979392711466
"ENSMUSG00000031007","Atp6ap2",671.977969088733
"ENSMUSG00000022658","Tagln3",671.406819066895
"ENSMUSG00000007891","Ctsd",667.180780872312
"ENSMUSG00000018286","Psmb6",665.255375658103
