"Rank","Protein Kinase","Hypergeometric p-value","Z-score","Combined score","Enriched Substrates"
"1","MAPK14","1.431e-18","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK14 targets 39 genes from the input gene list.The full list of substrates is available below:AKT1 PPARGC1A JUN EZH2 FOS POU5F1 STAT1 STAT3 SP1 NFE2L2 HSP90AA1 E2F1 SMARCA4 NCOA2 NCOA3 RELA DDX5 TCF3 VHL RB1 MYC CDKN1A NCOR2 NCOR1 CDKN2A CDH1 CHUK CEBPA CEBPB RBBP4 KLF4 ASXL1 KAT5 HIST1H3A XPO1 PARP1 SUZ12 SMAD3 ESR1"" style=""cursor: pointer; text-decoration: underline dotted;"">39 substrates"
"2","CDK1","2.399e-18","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK1 targets 49 genes from the input gene list.The full list of substrates is available below:PPARGC1A JUN EZH2 FOS SIRT1 STAT1 STAT3 NFKB1 SP1 NFE2L2 HSP90AA1 UHRF1 E2F1 TRIM28 SMARCA4 SNW1 NCOA2 NCOA6 NCOA3 RELA DDX5 TCF3 WHSC1 MYOD1 TDG VHL RB1 MYC MED1 CDKN1A NCOR2 NCOR1 CDKN2A CDH1 CHUK CEBPA CEBPB HDAC2 RBBP4 KLF4 PML ASXL1 SOX2 KAT5 SETDB1 XPO1 SUZ12 SMAD3 ESR1"" style=""cursor: pointer; text-decoration: underline dotted;"">49 substrates"
"3","CSNK2A1","1.813e-17","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CSNK2A1 targets 46 genes from the input gene list.The full list of substrates is available below:AKT1 PPARGC1A JUN EZH2 FOS SIRT1 POU5F1 PPARG STAT1 STAT3 SUMO1 HSP90AA1 UHRF1 E2F1 TRIM28 SMARCA4 NCOA2 NCOA3 RELA VDR TCF3 TDG VHL RB1 PHB2 MYC MED1 CDKN1A NCOR2 NCOR1 CDKN2A PPP1CC CDH1 CUL3 CHUK CEBPB HDAC2 HDAC3 RBBP4 KLF4 PML SOX2 XPO1 SUZ12 SMAD3 ESR1"" style=""cursor: pointer; text-decoration: underline dotted;"">46 substrates"
"4","MAPK1","5.017e-16","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK1 targets 32 genes from the input gene list.The full list of substrates is available below:RB1 MYC AKT1 MED1 JUN EZH2 CDKN1A FOS POU5F1 NCOR2 PPARG CDKN2A STAT1 STAT3 CDH1 SP1 CHUK CEBPA CEBPB KLF4 PML HIST1H3A NCOA1 NCOA2 PARP1 NCOA6 RELA RXRA SMAD2 SMAD3 ESR1 TCF3"" style=""cursor: pointer; text-decoration: underline dotted;"">32 substrates"
"5","MAPK3","6.929e-15","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK3 targets 24 genes from the input gene list.The full list of substrates is available below:MYC AKT1 MED1 JUN CDKN1A MED14 NCOA1 NCOA2 FOS POU5F1 PPARG RXRA STAT1 STAT3 CDH1 SMAD2 SMAD3 ESR1 SP1 CHUK CEBPA CEBPB KLF4 PML"" style=""cursor: pointer; text-decoration: underline dotted;"">24 substrates"
"6","ERK2","5.230e-14","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ERK2 targets 18 genes from the input gene list.The full list of substrates is available below:RB1 MYC SMAD2 JUN SMAD3 ESR1 NFKB1 SP1 TCF3 NCOA1 NCOA3 FOS NCOR2 PPARG CEBPB RELA STAT1 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"7","CDK4","1.072e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK4 targets 17 genes from the input gene list.The full list of substrates is available below:RB1 MYC SMAD2 JUN SMAD3 ESR1 SP1 TCF3 CDKN1A SUMO1 HSP90AA1 PARP1 MYOD1 CEBPA CEBPB CDKN2A STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">17 substrates"
"8","ABL1","1.699e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ABL1 targets 18 genes from the input gene list.The full list of substrates is available below:RB1 KAT5 MYC TP63 PRKCD ACTN4 DDX5 JUN ESR1 SNW1 CDKN1A NCOA3 FOS MYOD1 CEBPB HDAC2 STAT1 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"9","CDK2","3.901e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK2 targets 51 genes from the input gene list.The full list of substrates is available below:JUN MED14 FOS SP1 UHRF1 E2F1 TRIM28 TP63 SMARCA4 TCF3 WHSC1 MYOD1 RNF4 TDG PHB2 CDKN1A NCOR2 CDKN2A CEBPB HDAC2 PML ASXL1 KAT5 SETDB1 XPO1 PARP1 EZH2 POU5F1 STAT1 STAT3 PSMC5 ZBTB16 NFE2L2 SUMO1 HSP90AA1 SNW1 NCOA2 NCOA6 NCOA3 VHL RB1 MYC MED1 CDH1 CHUK RBBP4 SOX2 SUZ12 SMAD2 SMAD3 ESR1"" style=""cursor: pointer; text-decoration: underline dotted;"">51 substrates"
"10","DNAPK","8.045e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""DNAPK targets 15 genes from the input gene list.The full list of substrates is available below:SOX2 KAT5 TRIM28 AKT1 PRKCD SMAD2 JUN ESR1 SP1 TCF3 HSP90AA1 CHUK PARP1 NCOA6 RELA"" style=""cursor: pointer; text-decoration: underline dotted;"">15 substrates"
