"Rank","Protein Kinase","Hypergeometric p-value","Z-score","Combined score","Enriched Substrates"
"1","CDK1","1.749e-30","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK1 targets 94 genes from the input gene list.The full list of substrates is available below:EHMT1 CSNK2A1 PPARGC1A LYN JUN EZH2 CTCF SIRT1 STAT3 APEX1 KPNA2 MAPKAPK2 SQSTM1 SP1 SP3 NFE2L2 ATRX UHRF1 E2F1 STUB1 TRIM28 SMARCC1 TP53 EGR1 SMARCA4 TP73 NCOA3 RELA NPM1 CCND1 HMGA1 BHLHE40 TCF3 GSK3B HMGB1 WHSC1 CREB1 AURKA MTA1 DROSHA VHL TAF1 RB1 SMC3 MYC HIF1A RAD21 BARD1 PLK1 CDKN1A NCOR2 NCOR1 RARA RPS3 CDKN2A CDH1 GTF2I MEN1 USP7 NCL DNMT1 CDK7 BCL2 SIN3A CHUK RFC1 SMC1A CEBPB HDAC2 POLR2A RBBP4 KLF4 PML CEBPZ SOX2 KAT5 CHEK2 CHEK1 TP53BP1 BANP SETDB1 ATM ATR TOP2A TOP2B XPO1 SUZ12 KDM1A SMAD3 NFKBIA YBX1 H2AFX SENP1 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">94 substrates"
"2","CSNK2A1","7.001e-29","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CSNK2A1 targets 88 genes from the input gene list.The full list of substrates is available below:DAXX CSNK2A1 ATF3 SET PPARGC1A JUN EZH2 CTCF SIRT1 POU5F1 STAT3 MYBBP1A APEX1 YY1 SQSTM1 SUMO1 ATRX UHRF1 E2F1 STUB1 TRIM28 SMARCC1 TP53 EGR1 SMARCA4 NCOA3 RELA NPM1 CCND1 TFAP2A VDR HMGA1 BHLHE40 TCF3 GSK3B CREB1 TAF9 AURKA DROSHA VHL RB1 SMC3 MYC HIF1A RAD21 BARD1 PLK1 SNAI1 CDKN1A ING4 NCOR2 NCOR1 CDKN2A CDH1 USP7 TLE1 NCL DNMT1 CDK7 BCL2 SIN3A CHUK RFC1 CEBPB HDAC2 HDAC3 RBBP4 KLF4 PML CEBPZ SOX2 CHEK2 CHEK1 TWIST1 TP53BP1 ATR TOP2A TOP2B XPO1 SUZ12 KDM1A HSPA8 SMAD3 HSPA4 NFKBIA H2AFX SENP1 MAPK9"" style=""cursor: pointer; text-decoration: underline dotted;"">88 substrates"
"3","CDK2","4.055e-27","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK2 targets 107 genes from the input gene list.The full list of substrates is available below:ATF3 SET JUN MYBBP1A APEX1 SP1 SP3 ATRX UHRF1 E2F1 TRIM28 TP63 SMARCC1 TP53 EGR1 SMARCA4 TP73 NR3C1 TFAP2A BHLHE40 TCF3 WHSC1 RNF4 MTA1 DROSHA SMC3 BARD1 PLK1 CDKN1A NCOR2 CDKN2A GTF2I USP7 TLE1 FKBP3 BCL2 RFC1 SMC1A CEBPB HDAC2 POLR2A PML CEBPZ KAT5 TP53BP2 TP53BP1 SETDB1 TOP2A TOP2B XPO1 PARP1 H2AFX MAPK8 EHMT1 DAXX LYN EZH2 CTCF POU5F1 STAT3 YY1 RUVBL2 KPNA2 ZBTB33 FOXP3 ZBTB16 NFE2L2 SUMO1 NCOA3 NPM1 HUWE1 CCND1 HMGA1 GSK3B CHD8 HMGB1 AURKA VHL TAF6 TAF1 RB1 MYC HIF1A RAD21 ING4 GPS1 RPS3 CDH1 MEN1 NCL DNMT1 CDK9 CDK7 SIN3A DNMT3B CHUK RBBP4 SOX2 CHEK2 CHEK1 BANP ATR SUZ12 CDYL SMAD3 NFKBIA SENP1"" style=""cursor: pointer; text-decoration: underline dotted;"">107 substrates"
"4","MAPK14","1.111e-26","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK14 targets 69 genes from the input gene list.The full list of substrates is available below:ATF3 PPARGC1A HEXIM1 JUN EZH2 CTCF POU5F1 STAT3 APEX1 YY1 MAPKAPK2 SQSTM1 SP1 SP3 NFE2L2 ATRX E2F1 TP53 EGR1 SMARCA4 NCOA3 RELA NPM1 NR3C1 CCND1 HMGA1 BHLHE40 TCF3 GSK3B AURKA DROSHA VHL RB1 SMC3 MYC HIF1A PLK1 CDKN1A ING4 NCOR2 NCOR1 CDKN2A CDH1 GTF2I TLE1 DNMT1 BCL2 SIN3A CHUK CEBPB POLR2A RBBP4 KLF4 KAT5 CHEK1 TWIST1 HIST1H3A TP53BP1 BANP ATR TOP2A TOP2B XPO1 PARP1 SUZ12 HSPA8 SMAD3 NFKBIA MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">69 substrates"
"5","GSK3B","1.715e-23","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""GSK3B targets 94 genes from the input gene list.The full list of substrates is available below:ATF3 SET JUN MECP2 SP1 SP3 ATRX UHRF1 E2F1 TRIM24 TP63 SMARCC1 TP53 EGR1 SMARCA4 TP73 RELA RELB NR3C1 BHLHE40 TCF3 WHSC1 DROSHA CARM1 SMC3 BARD1 PLK1 SNAI1 CDKN1A NCOR2 NCOR1 CDKN2A GTF2I TLE1 BCL2 RFC1 CEBPB POLR2A PML KAT5 TWIST1 TP53BP2 TP53BP1 SETDB1 TOP2A TOP2B KDM1A MAPK8 MAPK7 EHMT1 DAXX LYN EZH2 CTCF SIRT1 POU5F1 STAT3 FOXP3 MAPKAPK2 SQSTM1 NFKB2 NFE2L2 NCOA3 NPM1 HUWE1 CCND1 HMGA1 GSK3B CREB1 VHL TAF1 RB1 MYC HIF1A ING4 GPS1 CDH1 DNMT1 SIN3A CHUK RBBP4 KLF4 KLF5 SOX2 CHEK1 BANP ATR SUZ12 CDYL HSPA8 SMAD3 SMAD7 NFKBIA ERBB4"" style=""cursor: pointer; text-decoration: underline dotted;"">94 substrates"
"6","MAPK1","3.475e-21","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK1 targets 54 genes from the input gene list.The full list of substrates is available below:RB1 MYC CSNK2A1 TXNIP ATF3 GATA4 HIF1A BARD1 LYN JUN SNAI1 EZH2 CDKN1A POU5F1 NCOR2 RPS3 CDKN2A STAT3 MYBBP1A CDH1 GTF2I TLE1 MAPKAPK2 SP1 SP3 BCL2 CHUK CEBPB POLR2A KLF4 PML TP53 TWIST1 HIST1H3A TP53BP2 TP53BP1 BANP EGR1 TOP2A PARP1 RELA RXRA NR3C1 CCND1 SMAD3 HMGA1 SMAD7 NFKBIA BHLHE40 TCF3 GSK3B MAPK8 MAPK7 ERBB4"" style=""cursor: pointer; text-decoration: underline dotted;"">54 substrates"
"7","MAPK8","1.195e-17","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK8 targets 33 genes from the input gene list.The full list of substrates is available below:SOX2 MYC TP53 TWIST1 BARD1 EGR1 JUN CDKN1A NCOA3 SIRT1 RARA RXRA RPS3 STAT6 SUZ12 CDKN2A STAT3 NR3C1 CCND1 CDH1 GTF2I TLE1 TFAP2A HMGA1 NFKBIA SP1 BHLHE40 BCL2 NFE2L2 SIN3A H2AFX KLF4 STUB1"" style=""cursor: pointer; text-decoration: underline dotted;"">33 substrates"
"8","MAPK3","7.758e-16","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK3 targets 35 genes from the input gene list.The full list of substrates is available below:MYC TP53 ATF3 TWIST1 GATA4 BANP EGR1 JUN TOP2A CDKN1A POU5F1 RXRA RPS3 STAT3 NR3C1 CCND1 CDH1 GTF2I MAPKAPK2 SMAD3 SMAD7 NFKBIA SP1 BHLHE40 SP3 BCL2 GSK3B CHUK CEBPB MAPK8 MAPK7 POLR2A KLF4 PML STUB1"" style=""cursor: pointer; text-decoration: underline dotted;"">35 substrates"
"9","DNAPK","8.780e-16","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""DNAPK targets 23 genes from the input gene list.The full list of substrates is available below:SOX2 KAT5 TRIM28 CHEK2 CHEK1 TP53 TP53BP1 BARD1 LYN JUN SP1 ATM TCF3 TOP2B IKBKB CHUK PARP1 ATRX H2AFX SMC1A RELA MAPK9 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">23 substrates"
"10","CK2ALPHA","1.024e-14","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CK2ALPHA targets 30 genes from the input gene list.The full list of substrates is available below:RB1 MYC CHEK1 TP53 LYN JUN SMARCA4 TOP2A NCOR2 RELA PPP1R8 NPM1 APEX1 KDM1A YY1 CDH1 TLE1 NCL VDR NFKBIA SP1 SUMO1 SIN3A EED HDAC2 HDAC3 RBBP4 MTA2 PML TAF1"" style=""cursor: pointer; text-decoration: underline dotted;"">30 substrates"
