"Rank","Protein Kinase","Hypergeometric p-value","Z-score","Combined score","Enriched Substrates"
"1","CSNK2A1","1.907e-23","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CSNK2A1 targets 54 genes from the input gene list.The full list of substrates is available below:AKT1 SET JUN EZH2 CTCF SIRT1 POU5F1 STAT3 YY1 SQSTM1 SUMO1 ATRX UHRF1 E2F1 TRIM28 SMARCC1 TP53 SMARCA4 RELA NPM1 GSK3B VHL SMC3 MYC HIF1A RAD21 SNAI1 CDKN1A NCOR2 NCOR1 CDKN2A USP7 NCL DNMT1 CUL3 SIN3A CEBPB HDAC2 HDAC3 RBBP4 PML SOX2 CHEK2 TP53BP1 STAG1 STAG2 TOP2A TOP2B XPO1 SUZ12 SMAD3 ESR1 H2AFX MAPK9"" style=""cursor: pointer; text-decoration: underline dotted;"">54 substrates"
"2","CDK1","2.125e-22","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK1 targets 55 genes from the input gene list.The full list of substrates is available below:CDCA5 LYN JUN EZH2 CTCF SIRT1 STAT3 SQSTM1 NFE2L2 ATRX UHRF1 E2F1 TRIM28 SMARCC1 TP53 SMARCA4 RELA NPM1 GSK3B WHSC1 VHL SMC3 MYC HIF1A RAD21 CDKN1A NCOR2 NCOR1 CDKN2A USP7 NCL DNMT1 SIN3A SMC1A CEBPB HDAC2 RBBP4 PML ASXL1 SOX2 CHEK2 TP53BP1 SETDB1 STAG1 STAG2 ATM TOP2A TOP2B XPO1 SUZ12 SMAD3 ESR1 YBX1 H2AFX MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">55 substrates"
"3","MAPK14","1.498e-18","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK14 targets 40 genes from the input gene list.The full list of substrates is available below:AKT1 JUN EZH2 CTCF POU5F1 STAT3 YY1 SQSTM1 NFE2L2 ATRX E2F1 TP53 SMARCA4 RELA NPM1 NR3C1 GSK3B VHL SMC3 MYC HIF1A CDKN1A NCOR2 NCOR1 CDKN2A DNMT1 SIN3A CEBPB RBBP4 ASXL1 TP53BP1 STAG1 TOP2A TOP2B XPO1 PARP1 SUZ12 SMAD3 ESR1 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">40 substrates"
"4","CDK2","4.156e-17","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK2 targets 58 genes from the input gene list.The full list of substrates is available below:SET CDCA5 JUN ATRX UHRF1 E2F1 TRIM28 SMARCC1 TP53 SMARCA4 NR3C1 WHSC1 RNF4 SMC3 CDKN1A NCOR2 CDKN2A USP7 SMC1A CEBPB HDAC2 PML ASXL1 TP53BP1 SETDB1 TOP2A TOP2B XPO1 PARP1 H2AFX MAPK8 LYN EZH2 CTCF POU5F1 STAT3 YY1 ZBTB33 NFE2L2 SUMO1 NPM1 GSK3B CHD8 VHL MYC HIF1A RAD21 NCL DNMT1 SIN3A RBBP4 SOX2 CHEK2 STAG1 STAG2 SUZ12 SMAD3 ESR1"" style=""cursor: pointer; text-decoration: underline dotted;"">58 substrates"
"5","DNAPK","4.305e-16","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""DNAPK targets 18 genes from the input gene list.The full list of substrates is available below:SOX2 TRIM28 CHEK2 AKT1 TP53 TP53BP1 LYN JUN ESR1 ATM TOP2B PARP1 ATRX H2AFX SMC1A RELA MAPK9 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"6","GSK3B","1.331e-15","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""GSK3B targets 52 genes from the input gene list.The full list of substrates is available below:SET JUN MECP2 ATRX UHRF1 E2F1 TRIM24 SMARCC1 TP53 SMARCA4 RELA NR3C1 WHSC1 SMC3 SNAI1 CDKN1A NCOR2 NCOR1 CDKN2A CEBPB PML ASXL1 TP53BP1 SETDB1 TOP2A TOP2B KDM5A MAPK8 MAPK7 LYN EZH2 CTCF SIRT1 POU5F1 STAT3 SQSTM1 NFE2L2 NPM1 GSK3B VHL MYC HIF1A DNMT1 SIN3A RBBP4 SOX2 STAG1 STAG2 SUZ12 SMAD3 ESR1 ERBB4"" style=""cursor: pointer; text-decoration: underline dotted;"">52 substrates"
"7","HIPK2","2.043e-14","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""HIPK2 targets 18 genes from the input gene list.The full list of substrates is available below:TRIM28 MYC TP53 HIF1A SMAD3 CHD8 PHF1 MECP2 SUMO1 SIN3A PARP1 SIRT1 NCOR1 CEBPB RELA MAPK8 PML ASXL1"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"8","CDC2","2.805e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDC2 targets 20 genes from the input gene list.The full list of substrates is available below:TRIM28 MYC TP53 RAD21 TP53BP1 LYN JUN ATM EZH2 TOP2A TOP2B CDKN1A XPO1 PARP1 NCOR1 RELA NPM1 STAT3 NCL E2F1"" style=""cursor: pointer; text-decoration: underline dotted;"">20 substrates"
"9","MAPK1","3.423e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK1 targets 27 genes from the input gene list.The full list of substrates is available below:MYC AKT1 CDCA5 HIF1A LYN JUN SNAI1 EZH2 CDKN1A POU5F1 NCOR2 CDKN2A STAT3 CEBPB PML TP53 TP53BP1 TOP2A PARP1 RELA NR3C1 SMAD3 ESR1 GSK3B MAPK8 MAPK7 ERBB4"" style=""cursor: pointer; text-decoration: underline dotted;"">27 substrates"
"10","CK2ALPHA","1.092e-10","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CK2ALPHA targets 18 genes from the input gene list.The full list of substrates is available below:MYC AKT1 TP53 LYN JUN SMARCA4 TOP2A NCOR2 RELA NPM1 YY1 NCL SUMO1 SIN3A HDAC2 HDAC3 RBBP4 PML"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"11","JNK1","3.634e-10","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""JNK1 targets 12 genes from the input gene list.The full list of substrates is available below:CDKN1A NR3C1 MYC SIRT1 TP53 HIF1A RELA MAPK8 E2F1 JUN SMAD3 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">12 substrates"
"12","CDK4","4.180e-10","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK4 targets 14 genes from the input gene list.The full list of substrates is available below:SMC3 MYC TP53 DNMT1 JUN SMAD3 ESR1 CDKN1A CHD8 SUMO1 PARP1 CEBPB CDKN2A STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">14 substrates"
"13","GSK3BETA","9.041e-10","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""GSK3BETA targets 14 genes from the input gene list.The full list of substrates is available below:MYC AKT1 TP53 DNMT1 JUN SMAD3 ESR1 SNAI1 GSK3B PHF1 PARP1 CEBPB E2F1 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">14 substrates"
"14","CSNK1E","2.638e-9","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CSNK1E targets 10 genes from the input gene list.The full list of substrates is available below:MYC POU5F1 NCL TP53 DNMT1 SET CDKN2A ESR1 SMARCA4 SNAI1"" style=""cursor: pointer; text-decoration: underline dotted;"">10 substrates"
"15","ERK1","3.417e-9","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ERK1 targets 14 genes from the input gene list.The full list of substrates is available below:MYC SQSTM1 TP53 HIF1A LYN JUN SMAD3 ESR1 NCOR2 CEBPB RELA MAPK8 MAPK7 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">14 substrates"
"16","AKT1","8.686e-9","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""AKT1 targets 18 genes from the input gene list.The full list of substrates is available below:SOX2 MYC AKT1 TP53 JUN EZH2 CDKN1A POU5F1 NCOR1 CDKN2A STAT3 NR3C1 DNMT1 SMAD3 ESR1 KDM5A GSK3B YBX1"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"17","RPS6KA3","1.339e-8","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""RPS6KA3 targets 17 genes from the input gene list.The full list of substrates is available below:MYC TP53 JUN TOP2A TOP2B CDKN1A CTCF POU5F1 NCOR2 CDKN2A STAT3 KPNA4 SMAD3 ESR1 GSK3B YBX1 SIN3A"" style=""cursor: pointer; text-decoration: underline dotted;"">17 substrates"
"18","MAPK3","3.430e-8","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK3 targets 17 genes from the input gene list.The full list of substrates is available below:MYC AKT1 TP53 CDCA5 JUN TOP2A CDKN1A POU5F1 STAT3 NR3C1 SMAD3 ESR1 GSK3B CEBPB MAPK8 MAPK7 PML"" style=""cursor: pointer; text-decoration: underline dotted;"">17 substrates"
"19","ATM","6.532e-8","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ATM targets 15 genes from the input gene list.The full list of substrates is available below:SMC3 SOX2 TRIM28 CHEK2 TP53 HIF1A TP53BP1 SMARCA4 ATM EZH2 PARP1 H2AFX SMC1A E2F1 VHL"" style=""cursor: pointer; text-decoration: underline dotted;"">15 substrates"
"20","MAPK8","2.128e-7","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK8 targets 14 genes from the input gene list.The full list of substrates is available below:SOX2 MYC TP53 JUN CDKN1A SIRT1 STAT6 SUZ12 CDKN2A STAT3 NR3C1 NFE2L2 SIN3A H2AFX"" style=""cursor: pointer; text-decoration: underline dotted;"">14 substrates"
"21","PRKDC","4.371e-7","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""PRKDC targets 10 genes from the input gene list.The full list of substrates is available below:CHEK2 MYC AKT1 TP53 STAG1 ATM CDKN1A H2AFX RELA MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">10 substrates"
"22","GSK","0.000001202","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""GSK targets 6 genes from the input gene list.The full list of substrates is available below:CDKN1A CEBPB RELA MYC ESR1 SNAI1"" style=""cursor: pointer; text-decoration: underline dotted;"">6 substrates"
