"Rank","Protein Kinase","Hypergeometric p-value","Z-score","Combined score","Enriched Substrates"
"1","MAPK3","2.420e-21","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK3 targets 31 genes from the input gene list.The full list of substrates is available below:SPIB MYC AKT1 MED1 TP53 GATA1 JUN NR0B2 CDKN1A MED14 NCOA1 NCOA2 SREBF1 FOS POU5F1 SREBF2 TAL1 NR3C1 ETS1 ETS2 FOXO1 SMAD3 ESR1 SP1 CDK1 GSK3B CEBPA CEBPB MAPK8 MAPK7 PML"" style=""cursor: pointer; text-decoration: underline dotted;"">31 substrates"
"2","MAPK1","9.588e-17","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK1 targets 34 genes from the input gene list.The full list of substrates is available below:RB1 MYC AKT1 MED1 CSNK2A1 GATA1 JUN NR0B2 CDKN1A FOS POU5F1 NCOR2 FOXO1 SP1 CDK1 CEBPA CEBPB PML TP53 NCOA1 NCOA2 SREBF1 NCOA6 SREBF2 RELA NR3C1 ETS1 ETS2 SMAD3 ESR1 GSK3B HSPB1 MAPK8 MAPK7"" style=""cursor: pointer; text-decoration: underline dotted;"">34 substrates"
"3","ERK1","2.069e-16","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ERK1 targets 21 genes from the input gene list.The full list of substrates is available below:ETS1 ETS2 SPIB MYC PRKCD SQSTM1 TP53 GATA1 JUN SMAD3 ESR1 SP1 SREBF1 FOS NCOR2 TAL1 HDAC4 CEBPB RELA MAPK8 MAPK7"" style=""cursor: pointer; text-decoration: underline dotted;"">21 substrates"
"4","CSNK2A1","2.535e-14","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CSNK2A1 targets 44 genes from the input gene list.The full list of substrates is available below:SPI1 AKT1 CSNK2A1 PPARGC1A JUN NELFE FOS SIRT1 POU5F1 YY1 SQSTM1 FOXO1 MNAT1 HSP90AA1 TRIM28 TP53 SMARCA4 NCOA2 NCOA3 RELA ITCH GSK3B TAF9 RB1 MYC MED1 CDKN1A NCOR2 NCOR1 NCL CUL3 CDK1 SIN3A CEBPB HDAC2 HDAC3 PML XPO1 PRMT1 SMAD3 HSPA4 ESR1 HSPB1 MAPK9"" style=""cursor: pointer; text-decoration: underline dotted;"">44 substrates"
"5","MAPK14","6.618e-14","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK14 targets 35 genes from the input gene list.The full list of substrates is available below:AKT1 PPARGC1A JUN NELFE FOS POU5F1 YY1 SQSTM1 FOXO1 SP1 NFE2L2 HSP90AA1 TP53 SMARCA4 HNF4A NCOA2 SREBF1 NCOA3 RELA NR3C1 GSK3B RB1 MYC CDKN1A NCOR2 NCOR1 CDK1 SIN3A CEBPA CEBPB XPO1 SMAD3 ESR1 HSPB1 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">35 substrates"
"6","CDK1","1.512e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK1 targets 45 genes from the input gene list.The full list of substrates is available below:CSNK2A1 GATA2 PPARGC1A JUN NELFE FOS SIRT1 SQSTM1 FOXO1 SP1 NFE2L2 HSP90AA1 TRIM28 TP53 SMARCA4 HNF4A NCOA2 SREBF1 NCOA6 NCOA3 RELA ITCH GSK3B HMGB1 RB1 MYC MED1 CDKN1A NCOR2 NCOR1 NCL CDK1 SIN3A CEBPA CEBPB HDAC2 PML ZFPM1 XPO1 NFYA SMAD3 ESR1 HSPB1 NR2C2 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">45 substrates"
"7","ERK2","1.948e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ERK2 targets 18 genes from the input gene list.The full list of substrates is available below:RB1 ETS1 ETS2 MYC TP53 JUN SMAD3 ESR1 SP1 NCOA1 SREBF1 NCOA3 FOS NCOR2 HDAC4 CEBPB RELA MAPK7"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"8","CK2ALPHA","2.173e-12","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CK2ALPHA targets 20 genes from the input gene list.The full list of substrates is available below:RB1 SPI1 SPIB MYC AKT1 TP53 JUN SMARCA4 NCOR2 RELA YY1 NCL SP1 CDK1 SIN3A HSP90AA1 HDAC4 HDAC2 HDAC3 PML"" style=""cursor: pointer; text-decoration: underline dotted;"">20 substrates"
"9","AKT1","5.368e-12","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""AKT1 targets 22 genes from the input gene list.The full list of substrates is available below:MYC AKT1 CSNK2A1 TP53 GATA2 GATA1 PPARGC1A PPARGC1B JUN CDKN1A FOS POU5F1 NCOR1 TAL1 SKI NR3C1 FOXO1 SMAD3 ESR1 SP1 GSK3B HSPB1"" style=""cursor: pointer; text-decoration: underline dotted;"">22 substrates"
"10","JNK1","3.440e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""JNK1 targets 13 genes from the input gene list.The full list of substrates is available below:CDKN1A HSPB1 NR3C1 HNF4A MYC FOS SIRT1 TP53 RELA MAPK8 JUN SMAD3 SP1"" style=""cursor: pointer; text-decoration: underline dotted;"">13 substrates"
