"Rank","Protein Kinase","Hypergeometric p-value","Z-score","Combined score","Enriched Substrates"
"1","CSNK2A1","9.509e-23","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CSNK2A1 targets 59 genes from the input gene list.The full list of substrates is available below:EHMT2 AKT1 DAXX SET JUN EZH2 CTCF SIRT1 CRYAB STAT3 YY1 SQSTM1 KPNB1 FOXO3 FOXO1 PIN1 MDM4 SUMO1 UHRF1 STUB1 TRIM28 TP53 SMARCA4 RELA NPM1 CAV1 GSK3B OTUB1 SMC3 MYC RAD21 PLK1 SNAI1 CDKN1A NCOR2 NCOR1 USP7 NCL CUL3 SKIL COPS5 SIN3A CEBPB HDAC2 HDAC3 RBBP4 PML SOX2 STAG1 STAG2 TOP2A TOP2B XPO1 SUZ12 SMAD4 SMAD3 ESR1 MAPK9 MAPK1"" style=""cursor: pointer; text-decoration: underline dotted;"">59 substrates"
"2","CDK1","4.898e-19","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK1 targets 57 genes from the input gene list.The full list of substrates is available below:EHMT2 CDCA5 JUN EZH2 CTCF SIRT1 STAT3 SQSTM1 KPNB1 FOXO3 FOXO1 SP1 MDM4 NFE2L2 UHRF1 STUB1 TRIM28 TP53 SMARCA4 SNW1 HNF4A RELA NPM1 CAV1 GSK3B REST SMC3 MYC RAD21 PLK1 CDKN1A NCOR2 NCOR1 USP7 NCL SIN3A SMC1A CEBPA CEBPB HDAC2 RBBP4 PML ASXL1 SOX2 STAG1 STAG2 ATM TOP2A TOP2B XPO1 SUZ12 SMAD4 SMAD3 ESR1 YBX1 MAPK8 MAPK1"" style=""cursor: pointer; text-decoration: underline dotted;"">57 substrates"
"3","HIPK2","1.278e-18","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""HIPK2 targets 23 genes from the input gene list.The full list of substrates is available below:TRIM28 MYC TP53 SMAD2 SMAD1 SMAD3 CAV1 MDM4 CHD8 PHF1 MECP2 SUMO1 SIN3A PARP1 PAX6 SIRT1 NCOR1 HDAC4 CEBPB RELA MAPK8 PML ASXL1"" style=""cursor: pointer; text-decoration: underline dotted;"">23 substrates"
"4","MAPK14","9.033e-18","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK14 targets 43 genes from the input gene list.The full list of substrates is available below:EHMT2 AKT1 JUN EZH2 CTCF CRYAB STAT3 YY1 SQSTM1 FOXO3 FOXO1 SP1 MDM4 NFE2L2 TP53 SMARCA4 HNF4A RELA NPM1 CAV1 GSK3B SMC3 MYC PLK1 CDKN1A NCOR2 NCOR1 SIN3A CEBPA CEBPB RBBP4 ASXL1 STAG1 TOP2A TOP2B XPO1 PARP1 SUZ12 SMAD4 SMAD3 ESR1 MAPK8 MAPK1"" style=""cursor: pointer; text-decoration: underline dotted;"">43 substrates"
"5","GSK3B","3.788e-16","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""GSK3B targets 59 genes from the input gene list.The full list of substrates is available below:SET JUN MECP2 SP1 UHRF1 TP53 SMARCA4 RELA CAV1 REST SMC3 PLK1 SNAI1 CDKN1A NCOR2 NCOR1 HDAC4 CEBPA CEBPB PML ASXL1 TOP2A TOP2B KDM5A MAPK8 MAPK7 MAPK1 EHMT2 DAXX EZH2 CTCF SIRT1 STAT3 SQSTM1 KPNB1 FOXO3 FOXO1 MDM4 NFE2L2 SNW1 NPM1 GSK3B MYC SKIL SIN3A RBBP4 KLF5 SOX2 STAG1 STAG2 SUZ12 CDYL SMAD2 SMAD1 SMAD4 SMAD3 SMURF1 ESR1 SMAD7"" style=""cursor: pointer; text-decoration: underline dotted;"">59 substrates"
"6","CDK2","6.746e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK2 targets 59 genes from the input gene list.The full list of substrates is available below:SET CDCA5 JUN SP1 UHRF1 TRIM28 TP53 SMARCA4 CAV1 RNF4 REST SMC3 PLK1 CDKN1A NCOR2 USP7 SMC1A CEBPB HDAC2 PML ASXL1 TOP2A TOP2B XPO1 PARP1 MAPK8 MAPK1 EHMT2 DAXX EZH2 CTCF STAT3 YY1 ZBTB33 KPNB1 FOXO3 FOXO1 MDM4 NFE2L2 SUMO1 SNW1 NPM1 GSK3B CHD8 MYC RAD21 PAX6 NCL SIN3A RBBP4 SOX2 STAG1 STAG2 SUZ12 CDYL SMAD2 SMAD4 SMAD3 ESR1"" style=""cursor: pointer; text-decoration: underline dotted;"">59 substrates"
"7","MAPK3","1.406e-12","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK3 targets 24 genes from the input gene list.The full list of substrates is available below:MYC AKT1 TP53 CDCA5 JUN TOP2A CDKN1A STAT3 FOXO3 FOXO1 SMAD2 SMAD4 SMAD3 CAV1 ESR1 SMAD7 SP1 GSK3B CEBPA CEBPB MAPK8 MAPK7 PML STUB1"" style=""cursor: pointer; text-decoration: underline dotted;"">24 substrates"
"8","DNAPK","1.831e-12","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""DNAPK targets 16 genes from the input gene list.The full list of substrates is available below:SOX2 TRIM28 AKT1 TP53 SMAD2 JUN SMAD4 ESR1 SP1 ATM TOP2B PARP1 SMC1A RELA MAPK9 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">16 substrates"
"9","CDK4","4.638e-12","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK4 targets 17 genes from the input gene list.The full list of substrates is available below:SMC3 MYC TP53 FOXO1 SMAD2 JUN SMAD3 ESR1 SP1 MDM4 CDKN1A CHD8 SUMO1 PARP1 CEBPA CEBPB STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">17 substrates"
"10","GSK3BETA","1.173e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""GSK3BETA targets 17 genes from the input gene list.The full list of substrates is available below:MYC AKT1 TP53 FOXO3 FOXO1 SMAD1 JUN SMAD3 ESR1 SNAI1 PIN1 GSK3B PHF1 HNF4A PARP1 CEBPB STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">17 substrates"
