"Rank","Protein Kinase","Hypergeometric p-value","Z-score","Combined score","Enriched Substrates"
"1","HIPK2","1.342e-21","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""HIPK2 targets 24 genes from the input gene list.The full list of substrates is available below:TRIM28 MYC TP63 AR TP53 SMAD2 SMAD3 SIAH2 NFKB1 MDM4 PHF1 IKBKB SUMO1 CHUK PAX6 SIRT1 NCOR1 CEBPB RCHY1 RELA MAPK8 PML HIPK2 ASXL1"" style=""cursor: pointer; text-decoration: underline dotted;"">24 substrates"
"2","CSNK2A1","1.417e-18","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CSNK2A1 targets 49 genes from the input gene list.The full list of substrates is available below:AKT1 DAXX AR JUN EZH2 SIRT1 POU5F1 STAT3 YY1 SQSTM1 PIN1 MDM4 MNAT1 PTEN SUMO1 RAD23B UHRF1 GADD45GIP1 TRIM28 TP53 EGR1 SMARCA4 RELA ITCH VDR GSK3B HMGB2 MYC WDR77 SNAI1 CDKN1A NCOR2 NCOR1 CDKN2A USP7 NCL CUL3 CHUK CEBPB HDAC2 HDAC3 RBBP4 PML SOX2 XPO1 SUZ12 SMAD3 ESR1 MAPK9"" style=""cursor: pointer; text-decoration: underline dotted;"">49 substrates"
"3","MAPK14","2.691e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK14 targets 34 genes from the input gene list.The full list of substrates is available below:AKT1 AR SFN JUN EZH2 POU5F1 STAT3 YY1 SQSTM1 SP1 MDM4 NFE2L2 PTEN RAD23B TP53 EGR1 SMARCA4 RELA GSK3B MYC CDKN1A NCOR2 NCOR1 CDKN2A CHUK CEBPB RBBP4 ASXL1 SIAH2 XPO1 SUZ12 SMAD3 ESR1 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">34 substrates"
"4","ERK1","3.476e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ERK1 targets 18 genes from the input gene list.The full list of substrates is available below:ETS2 MYC PRKCD AR SQSTM1 TP53 SMAD2 JUN SMAD3 ESR1 NFKB1 SP1 NCOR2 CEBPB RELA MAPK8 MAPK7 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"5","CDK1","4.569e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK1 targets 44 genes from the input gene list.The full list of substrates is available below:AR JUN EZH2 SIRT1 STAT3 SQSTM1 NFKB1 SP1 MDM4 NFE2L2 PTEN RAD23B UHRF1 TRIM28 TP53 EGR1 SMARCA4 RELA ITCH GSK3B HMGB2 HMGB1 MYC WDR77 CDKN1A NCOR2 NCOR1 CDKN2A USP7 NCL CHUK CEBPB HDAC2 RBBP4 PML ASXL1 SOX2 SETDB1 XPO1 SUZ12 NFYA SMAD3 ESR1 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">44 substrates"
"6","CDK4","3.813e-12","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK4 targets 16 genes from the input gene list.The full list of substrates is available below:STK11 MYC WDR77 TP53 SMAD2 JUN SMAD3 ESR1 SP1 MDM4 MNAT1 CDKN1A SUMO1 CEBPB CDKN2A STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">16 substrates"
"7","AKT1","4.179e-12","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""AKT1 targets 22 genes from the input gene list.The full list of substrates is available below:SOX2 MYC AKT1 AR TP53 EGR1 JUN EZH2 CDKN1A IKBKB POU5F1 NCOR1 CDKN2A STAT3 SMAD3 ESR1 SP1 MDM4 KDM5A GSK3B PTEN CHUK"" style=""cursor: pointer; text-decoration: underline dotted;"">22 substrates"
"8","CDK2","1.038e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK2 targets 51 genes from the input gene list.The full list of substrates is available below:JUN DDB2 SP1 MNAT1 PTEN UHRF1 CABLES1 TRIM28 TP63 TP53 EGR1 SMARCA4 ITCH RNF4 RNF2 WDR77 CDKN1A NCOR2 CDKN2A USP7 CEBPB HDAC2 PML ASXL1 SETDB1 XPO1 MAPK8 DAXX AR EZH2 POU5F1 STAT3 YY1 MDM4 NFE2L2 SUMO1 RAD23B GSK3B HMGB2 HMGB1 MYC TCF20 PAX6 NCL CHUK RBBP4 SOX2 SUZ12 SMAD2 SMAD3 ESR1"" style=""cursor: pointer; text-decoration: underline dotted;"">51 substrates"
"9","MAPK3","1.837e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK3 targets 21 genes from the input gene list.The full list of substrates is available below:MYC AKT1 AR TP53 EGR1 JUN CDKN1A POU5F1 STAT3 ETS2 SMAD2 SMAD3 ESR1 SP1 GSK3B PTEN CHUK CEBPB MAPK8 MAPK7 PML"" style=""cursor: pointer; text-decoration: underline dotted;"">21 substrates"
"10","DNAPK","2.714e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""DNAPK targets 14 genes from the input gene list.The full list of substrates is available below:SOX2 TRIM28 AKT1 PRKCD TP53 SMAD2 JUN ESR1 SP1 IKBKB CHUK RELA MAPK9 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">14 substrates"
