"Rank","Protein Kinase","Hypergeometric p-value","Z-score","Combined score","Enriched Substrates"
"1","MAPK1","2.193e-16","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK1 targets 33 genes from the input gene list.The full list of substrates is available below:RB1 CSNK2A1 HIF1A LYN JUN SNAI1 EZH2 CDKN1A FOS POU5F1 CDKN2A STAT1 STAT3 PGR SP1 CHUK CEBPA CEBPB CEBPD KLF4 PML HIST1H3A PARP1 RELA RXRA NR3C1 ETS2 SMAD2 SMAD1 SMAD4 SMAD3 BHLHE40 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">33 substrates"
"2","CSNK2A1","7.947e-16","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CSNK2A1 targets 45 genes from the input gene list.The full list of substrates is available below:SPI1 DAXX CSNK2A1 SET JUN EZH2 FOS SIRT1 POU5F1 STAT1 STAT3 FUS MDM4 SUMO1 HSP90AA1 STUB1 TRIM28 SMARCA4 RELA NPM1 PPP1CA ITCH BHLHE40 IRF1 RB1 HIF1A SNAI1 CDKN1A CDKN2A PGR DNMT1 COPS5 SIN3A CHUK CEBPB HDAC2 HDAC3 CEBPD KLF4 PML SUZ12 KDM1A SMAD4 SMAD3 HSPA4"" style=""cursor: pointer; text-decoration: underline dotted;"">45 substrates"
"3","HIPK2","1.124e-15","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""HIPK2 targets 19 genes from the input gene list.The full list of substrates is available below:TRIM28 TP63 HIF1A SMAD2 SMAD1 SMAD3 NFKB1 MDM4 IKBKB MECP2 SUMO1 SIN3A CHUK PARP1 SIRT1 CEBPB RELA MAPK8 PML"" style=""cursor: pointer; text-decoration: underline dotted;"">19 substrates"
"4","CDK1","2.841e-14","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK1 targets 45 genes from the input gene list.The full list of substrates is available below:CSNK2A1 LYN JUN EZH2 FOS SIRT1 STAT1 STAT3 NFKB1 SP1 MDM4 HSP90AA1 STUB1 TRIM28 SMARCA4 RELA NPM1 PPP1CA ITCH BHLHE40 HMGB1 MYOD1 RB1 HIF1A CDKN1A CDKN2A PGR DNMT1 SIN3A CHUK DNMT3A CEBPA CEBPB HDAC2 KLF4 PML KAT5 SETDB1 ATM SUZ12 NFYA KDM1A SMAD4 SMAD3 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">45 substrates"
"5","DNAPK","9.371e-14","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""DNAPK targets 16 genes from the input gene list.The full list of substrates is available below:KAT5 TRIM28 PRKCD PGR LYN SMAD2 JUN SMAD4 SP1 ATM IKBKB HSP90AA1 CHUK PARP1 RELA MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">16 substrates"
"6","GSK3B","1.153e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""GSK3B targets 49 genes from the input gene list.The full list of substrates is available below:SET JUN MECP2 FOS FUS SP1 TP63 SMARCA4 RELA ITCH NR3C1 BHLHE40 SNAI1 CDKN1A CDKN2A PGR CEBPA CEBPB CEBPD PML KAT5 SETDB1 KDM1A MAPK8 DAXX LYN EZH2 SIRT1 POU5F1 STAT1 STAT3 NFKB1 NFKB2 MDM4 NPM1 IRF1 RB1 HIF1A BRD4 DNMT1 SIN3A CHUK DNMT3A KLF4 SUZ12 SMAD2 SMAD1 SMAD4 SMAD3"" style=""cursor: pointer; text-decoration: underline dotted;"">49 substrates"
"7","CDK4","2.019e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK4 targets 17 genes from the input gene list.The full list of substrates is available below:RB1 DNMT1 SMAD2 JUN SMAD3 SP1 MDM4 CDKN1A SUMO1 HSP90AA1 PARP1 MYOD1 CEBPA CEBPB CDKN2A STAT3 PPP1CA"" style=""cursor: pointer; text-decoration: underline dotted;"">17 substrates"
"8","ERK1","2.262e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ERK1 targets 18 genes from the input gene list.The full list of substrates is available below:ETS2 KAT5 PRKCD HIF1A LYN SMAD2 SMAD1 JUN SMAD4 SMAD3 NFKB1 SP1 FOS CEBPB RELA MAPK8 STAT1 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"9","MAPK14","7.287e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK14 targets 33 genes from the input gene list.The full list of substrates is available below:JUN EZH2 FOS POU5F1 STAT1 STAT3 FUS SP1 MDM4 HSP90AA1 SMARCA4 RELA NPM1 NR3C1 BHLHE40 RB1 HIF1A CDKN1A CDKN2A PGR DNMT1 SIN3A CHUK CEBPA CEBPB KLF4 KAT5 HIST1H3A PARP1 SUZ12 SMAD4 SMAD3 MAPK8"" style=""cursor: pointer; text-decoration: underline dotted;"">33 substrates"
"10","MAPK3","1.373e-12","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK3 targets 22 genes from the input gene list.The full list of substrates is available below:JUN CDKN1A FOS POU5F1 RXRA STAT1 STAT3 NR3C1 ETS2 PGR SMAD2 SMAD4 SMAD3 SP1 BHLHE40 CHUK CEBPA CEBPB MAPK8 KLF4 PML STUB1"" style=""cursor: pointer; text-decoration: underline dotted;"">22 substrates"
"11","JNK1","1.391e-12","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""JNK1 targets 14 genes from the input gene list.The full list of substrates is available below:CDKN1A NR3C1 FOS SIRT1 PGR HIF1A RELA MAPK8 SMAD2 JUN SMAD3 STAT3 NFKB1 SP1"" style=""cursor: pointer; text-decoration: underline dotted;"">14 substrates"
"12","AKT1","1.999e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""AKT1 targets 21 genes from the input gene list.The full list of substrates is available below:CSNK2A1 HIST1H3A JUN EZH2 CDKN1A IKBKB FOS POU5F1 CDKN2A STAT1 STAT3 PPP1CA SKI NR3C1 DNMT1 SMAD4 SMAD3 SP1 BCL3 MDM4 CHUK"" style=""cursor: pointer; text-decoration: underline dotted;"">21 substrates"
"13","CDK2","5.908e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK2 targets 49 genes from the input gene list.The full list of substrates is available below:SET JUN FOS FUS SP1 TRIM28 TP63 SMARCA4 ITCH NR3C1 BHLHE40 MYOD1 CDKN1A CDKN2A PGR CEBPB HDAC2 PML KAT5 SETDB1 PARP1 MAPK8 DAXX LYN EZH2 POU5F1 STAT1 STAT3 MDM4 SUMO1 HSP90AA1 RCOR1 NPM1 PPP1CA SNIP1 HMGB1 RB1 HIF1A BRD4 DNMT1 CDK9 SIN3A DNMT3B CHUK DNMT3A SUZ12 SMAD2 SMAD4 SMAD3"" style=""cursor: pointer; text-decoration: underline dotted;"">49 substrates"
"14","ERK2","1.579e-10","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ERK2 targets 15 genes from the input gene list.The full list of substrates is available below:RB1 ETS2 PGR SMAD2 SMAD1 JUN SMAD4 SMAD3 NFKB1 SP1 FOS CEBPB RELA STAT1 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">15 substrates"
"15","CK2ALPHA","7.320e-10","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CK2ALPHA targets 17 genes from the input gene list.The full list of substrates is available below:RB1 SPI1 LYN JUN SMARCA4 RCOR1 RELA NPM1 KDM1A PGR SP1 SUMO1 SIN3A HSP90AA1 HDAC2 HDAC3 PML"" style=""cursor: pointer; text-decoration: underline dotted;"">17 substrates"
"16","PKR","1.950e-9","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""PKR targets 9 genes from the input gene list.The full list of substrates is available below:IKBKB HSP90AA1 NPM1 CHUK STAT1 STAT3 NFKB1 PPP1CA IRF7"" style=""cursor: pointer; text-decoration: underline dotted;"">9 substrates"
"17","MAPK8","3.562e-9","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK8 targets 16 genes from the input gene list.The full list of substrates is available below:JUN CDKN1A FOS SIRT1 RXRA SUZ12 CDKN2A STAT1 STAT3 ITCH NR3C1 SP1 BHLHE40 SIN3A KLF4 STUB1"" style=""cursor: pointer; text-decoration: underline dotted;"">16 substrates"
"18","ABL1","3.901e-9","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ABL1 targets 14 genes from the input gene list.The full list of substrates is available below:RB1 SPI1 KAT5 TP63 PRKCD JUN MDM4 CDKN1A FOS MYOD1 CEBPB HDAC2 STAT1 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">14 substrates"
"19","IKKALPHA","1.706e-8","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""IKKALPHA targets 7 genes from the input gene list.The full list of substrates is available below:HSP90AA1 CHUK NFKB1 RELA NFKB2 IKBKB IRF7"" style=""cursor: pointer; text-decoration: underline dotted;"">7 substrates"
"20","ATM","5.546e-8","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ATM targets 15 genes from the input gene list.The full list of substrates is available below:RB1 KAT5 TRIM28 TP63 DAXX HIF1A SMARCA4 ATM EZH2 PARP1 SMAD1 FUS SP1 MDM4 HSP90AA1"" style=""cursor: pointer; text-decoration: underline dotted;"">15 substrates"
"21","CDC2","5.943e-8","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDC2 targets 16 genes from the input gene list.The full list of substrates is available below:RB1 KAT5 TRIM28 CSNK2A1 LYN JUN ATM EZH2 CDKN1A PARP1 FOS RELA NPM1 NFYA STAT3 MYOD1"" style=""cursor: pointer; text-decoration: underline dotted;"">16 substrates"
"22","IKKBETA","6.850e-8","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""IKKBETA targets 8 genes from the input gene list.The full list of substrates is available below:RELA IKBKB CHUK STAT3 FOS NFKB1 NFKB2 IRF7"" style=""cursor: pointer; text-decoration: underline dotted;"">8 substrates"
"23","TGFBR2","1.299e-7","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""TGFBR2 targets 9 genes from the input gene list.The full list of substrates is available below:HSP90AA1 SMAD2 SMAD3 WWP1 NFKB1 PML PPP1CA SP1 SNAI1"" style=""cursor: pointer; text-decoration: underline dotted;"">9 substrates"
"24","IKBKB","6.793e-7","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""IKBKB targets 9 genes from the input gene list.The full list of substrates is available below:IKBKB TP63 PARP1 FOS RELA CDKN2A NFKB1 BCL3 HSPA1A"" style=""cursor: pointer; text-decoration: underline dotted;"">9 substrates"
"25","SRC","0.000002023","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""SRC targets 18 genes from the input gene list.The full list of substrates is available below:RB1 SPI1 PRKCD LYN JUN CDKN1A IKBKB FOS POU5F1 WWOX STAT1 STAT3 PGR FUS NFKB1 CEBPB KLF4 SMAD3"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"26","RPS6KA3","0.000002384","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""RPS6KA3 targets 14 genes from the input gene list.The full list of substrates is available below:HIST1H3A JUN CDKN1A FOS POU5F1 KAT2B CDKN2A STAT1 STAT3 PGR SMAD3 BHLHE40 SIN3A CHUK"" style=""cursor: pointer; text-decoration: underline dotted;"">14 substrates"
"27","PKBALPHA","0.000003412","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""PKBALPHA targets 12 genes from the input gene list.The full list of substrates is available below:EZH2 CDKN1A IKBKB RELA NPM1 SMAD2 SMAD3 NFKB1 MDM4 HSP90AA1 CHUK MYOD1"" style=""cursor: pointer; text-decoration: underline dotted;"">12 substrates"
"28","PRKCD","0.000003882","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""PRKCD targets 10 genes from the input gene list.The full list of substrates is available below:TRIM28 PRKCD HIST1H3A LYN JUN CDKN1A FOS MAPK8 STAT1 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">10 substrates"
