"Rank","Protein Kinase","Hypergeometric p-value","Z-score","Combined score","Enriched Substrates"
"1","MAPK14","3.216e-21","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK14 targets 49 genes from the input gene list.The full list of substrates is available below:EHMT2 AKT1 AR PPARGC1A HEXIM1 JUN EZH2 FOS POU5F1 STAT3 MAPKAPK2 SP1 SP3 NFE2L2 E2F1 SMARCA4 NCOA3 RELA PAK1 NPM1 NR3C1 TCF3 GSK3B VHL RB1 MYC HIF1A PLK1 CDKN1A NCOR2 NCOR1 TLE1 PGR DNMT1 SIN3A CHUK CEBPB RBBP4 ASXL1 KAT5 SKP2 TWIST1 SIAH2 XPO1 PARP1 SUZ12 HSPA8 ESR1 MAPK1"" style=""cursor: pointer; text-decoration: underline dotted;"">49 substrates"
"2","CDK1","5.440e-20","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK1 targets 61 genes from the input gene list.The full list of substrates is available below:EHMT2 AR PPARGC1A JUN EZH2 FOS SIRT1 STAT3 MAPKAPK2 NFKB1 SP1 SP3 NFE2L2 UHRF1 E2F1 E2F4 STUB1 TRIM28 SMARCC1 SMARCA4 NCOA3 RELA PAK1 NPM1 PPP1CA TCF3 GSK3B HMGB1 WHSC1 VHL REST TAF1 RB1 MYC WDR77 HIF1A BARD1 PLK1 CDKN1A NCOR2 NCOR1 MEN1 USP7 PGR DNMT1 SIN3A CHUK CEBPB HDAC2 RBBP4 PML ASXL1 SOX2 KAT5 SKP2 SETDB1 ATM XPO1 SUZ12 ESR1 MAPK1"" style=""cursor: pointer; text-decoration: underline dotted;"">61 substrates"
"3","CSNK2A1","1.084e-19","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CSNK2A1 targets 58 genes from the input gene list.The full list of substrates is available below:EHMT2 AKT1 DAXX AR PPARGC1A JUN EZH2 FOS SIRT1 POU5F1 STAT3 SUMO1 UHRF1 E2F1 GADD45GIP1 STUB1 TRIM28 SMARCC1 SMARCA4 NCOA3 RELA PAK1 NPM1 PPP1CA TCF3 GSK3B VHL RB1 MYC WDR77 HIF1A BARD1 PLK1 SNAI1 CDKN1A NCOR2 NCOR1 USP7 TLE1 PGR DNMT1 CUL3 CUL2 SIN3A CHUK CEBPB HDAC2 HDAC3 RBBP4 PML SOX2 TWIST1 XPO1 SUZ12 HSPA8 HSPA4 ESR1 MAPK1"" style=""cursor: pointer; text-decoration: underline dotted;"">58 substrates"
"4","GSK3B","1.604e-17","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""GSK3B targets 64 genes from the input gene list.The full list of substrates is available below:JUN FOS SP1 SP3 UHRF1 E2F1 TRIM24 SMARCC1 SMARCA4 RELA RELB NR3C1 TCF3 WHSC1 REST BARD1 PLK1 SNAI1 CDKN1A NCOR2 NCOR1 TLE1 PGR HDAC4 CEBPB PML ASXL1 KAT5 TWIST1 SETDB1 KDM5A MAPK1 EHMT2 DAXX AR EZH2 SIRT1 POU5F1 STAT3 MAPKAPK2 NFKB1 NFE2L2 CALM1 NCOA3 PAK1 NPM1 GSK3B VHL TAF1 RB1 MYC HIF1A REL TCF20 DNMT1 SIN3A CHUK RBBP4 SOX2 SKP2 SUZ12 CDYL HSPA8 ESR1"" style=""cursor: pointer; text-decoration: underline dotted;"">64 substrates"
"5","CDK2","5.430e-14","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CDK2 targets 64 genes from the input gene list.The full list of substrates is available below:JUN FOS DDB2 SP1 SP3 UHRF1 E2F1 E2F4 TRIM28 SMARCC1 SMARCA4 NR3C1 TCF3 WHSC1 RNF4 REST WDR77 BARD1 PLK1 CDKN1A NCOR2 USP7 TLE1 PGR CEBPB HDAC2 PML ASXL1 KAT5 SETDB1 XPO1 PARP1 MAPK1 EHMT2 DAXX AR EZH2 POU5F1 STAT3 NFE2L2 SUMO1 NCOA3 NPM1 PPP1CA GSK3B HMGB1 VHL TAF1 RB1 MYC HIF1A TCF20 PAX6 MEN1 DNMT1 CDK9 SIN3A CHUK RBBP4 SOX2 SKP2 SUZ12 CDYL ESR1"" style=""cursor: pointer; text-decoration: underline dotted;"">64 substrates"
"6","HIPK2","1.705e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""HIPK2 targets 19 genes from the input gene list.The full list of substrates is available below:TRIM28 MYC TLE1 AR HIF1A SIAH2 NFKB1 SUMO1 SIN3A CHUK PARP1 PAX6 SIRT1 NCOR1 HDAC4 CEBPB RELA PML ASXL1"" style=""cursor: pointer; text-decoration: underline dotted;"">19 substrates"
"7","MAPK1","2.148e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""MAPK1 targets 34 genes from the input gene list.The full list of substrates is available below:RB1 MYC AKT1 AR HIF1A BARD1 JUN REL SNAI1 EZH2 CDKN1A FOS POU5F1 NCOR2 STAT3 TLE1 MAPKAPK2 PGR SP1 SP3 CHUK CEBPB PML SKP2 TWIST1 CALM1 PARP1 RELA PAK1 NR3C1 ESR1 TCF3 GSK3B MAPK1"" style=""cursor: pointer; text-decoration: underline dotted;"">34 substrates"
"8","AKT1","3.222e-13","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""AKT1 targets 26 genes from the input gene list.The full list of substrates is available below:SOX2 MYC AKT1 AR TWIST1 PRKCZ PPARGC1A JUN EZH2 CDKN1A FOS POU5F1 NCOR1 PAK1 STAT3 PPP1CA NR3C1 MAPKAPK2 DNMT1 ESR1 SP1 TCF3 KDM5A GSK3B CHUK MAPK1"" style=""cursor: pointer; text-decoration: underline dotted;"">26 substrates"
"9","ERK2","1.076e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""ERK2 targets 18 genes from the input gene list.The full list of substrates is available below:RB1 MYC AR MAPKAPK2 PGR JUN ESR1 NFKB1 SP1 TCF3 NCOA3 FOS NCOR2 HDAC4 CEBPB RELA PAK1 STAT3"" style=""cursor: pointer; text-decoration: underline dotted;"">18 substrates"
"10","CHUK","3.442e-11","0.00","0.00",""" title=""Overlapping EnrichrSubstrates"" data-content=""CHUK targets 14 genes from the input gene list.The full list of substrates is available below:MYC BTRC IKBKE NCOA3 NCOR2 NCOR1 RELA RELB NR1H4 ESR1 NFKB1 REL CALM1 HSPA1A"" style=""cursor: pointer; text-decoration: underline dotted;"">14 substrates"
