"Rank","Transcription Factor","Hypergeometric p-value","Z-score","Combined score","Enriched Targets"
"1","SUZ12","0.001413","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SUZ12 targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FAT4 IGF2 EFNB2 CXCL12 IHH MMP9"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
"2","TP63","0.004105","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TP63 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CAMP IL1A TNC NID2 EFNB2"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"3","KLF4","0.007326","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""KLF4 targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CXCL12 IGF2 NID2 EFNB2"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"4","SALL4","0.03459","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SALL4 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:IHH NID2"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"5","NFE2L2","0.04948","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NFE2L2 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FAT4 TNC EFNB2"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"6","VDR","0.06242","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""VDR targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CAMP"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"7","SUZ12","0.08498","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SUZ12 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:IHH"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"8","ESR1","0.1220","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ESR1 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CXCL12"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"9","MYOD1","0.1308","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""MYOD1 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:TNC"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"10","SOX2","0.1349","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SOX2 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:SEMA3A NID2"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"11","TRIM28","0.1625","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TRIM28 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:EFNB2"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"12","EZH2","0.1815","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""EZH2 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:IHH"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"13","EGR1","0.2340","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""EGR1 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:MMP9"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"14","FOXA2","0.2347","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""FOXA2 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FGL1"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"15","RAD21","0.2861","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RAD21 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CXCL12 EFNB2"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"16","HNF4A","0.2896","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""HNF4A targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FAT4 IHH"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"17","RELA","0.3373","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RELA targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:MMP9"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"18","PPARG","0.3658","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""PPARG targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:EFNB2"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"19","NFYB","0.3781","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NFYB targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NID2 FAT4 SHBG EFNB2"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"20","RFX5","0.3789","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RFX5 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:SHBG"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"21","NANOG","0.3980","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NANOG targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NID2"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"22","FOS","0.4195","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""FOS targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:EFNB2"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"23","IRF3","0.4326","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""IRF3 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:EFNB2"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"24","CTCF","0.4509","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""CTCF targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:EFNB2 CXCL12"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"25","SP2","0.5762","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SP2 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:EFNB2"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
