"Rank","Transcription Factor","Hypergeometric p-value","Z-score","Combined score","Enriched Targets"
"1","SUZ12","0.00003769","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SUZ12 targets 20 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NR2F1 JAM3 GNAS SLIT2 CLCF1 FGF2 FGF5 WNT5A LYN OLFM2 CXCL12 NTN4 PCSK9 PTHLH ADM CLSTN1 SEMA6A IGFBP4 SEMA7A GDNF"" style=""cursor: pointer; text-decoration: underline dotted;"">20 targets"
"2","NFE2L2","0.00004374","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NFE2L2 targets 15 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PDGFC FN1 AREG PTGS2 ECM1 VEGFA LAMC1 LAMA4 CLSTN1 TNC FGF7 PKM WNT5A GDNF TFPI"" style=""cursor: pointer; text-decoration: underline dotted;"">15 targets"
"3","TP53","0.0006256","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TP53 targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RPS19 PDGFC LIF SEMA6A LTBP1 GDNF MMP2"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
"4","CTCF","0.01258","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""CTCF targets 15 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:VEGFA GNAS FGF7 RPS19 THBS1 CXCL12 CTHRC1 LAMC1 LAMA5 HBEGF SEMA6A IGFBP4 SEMA4C GDF5 LTBP1"" style=""cursor: pointer; text-decoration: underline dotted;"">15 targets"
"5","TCF3","0.01459","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TCF3 targets 10 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PDGFC FN1 JAM2 JAM3 LAMA5 HBEGF FGF5 PKM RPS19 PKD2"" style=""cursor: pointer; text-decoration: underline dotted;"">10 targets"
"6","RELA","0.02227","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RELA targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FGF2 SEMA7A PKM RPS19 B2M CALM2"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
"7","SMC3","0.03862","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SMC3 targets 10 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CXCL12 CTHRC1 VEGFA LAMC1 FGF7 SEMA6A IGFBP4 GDF5 LTBP1 THBS1"" style=""cursor: pointer; text-decoration: underline dotted;"">10 targets"
"8","HDAC2","0.04563","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""HDAC2 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RPS19 CALR PKM"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"9","SOX2","0.06006","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SOX2 targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PDGFC FN1 JAM2 GNAS PTHLH RPS19 TFPI"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
"10","TRIM28","0.07033","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TRIM28 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PROS1 WNT5A GDNF"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"11","NELFE","0.09009","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NELFE targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:B2M CALR CALM2"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"12","SPI1","0.1020","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SPI1 targets 8 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:GMFG LYN LAMC1 RNF4 PROS1 IGFBP4 RPS19 B2M"" style=""cursor: pointer; text-decoration: underline dotted;"">8 targets"
"13","IRF8","0.1051","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""IRF8 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:HLA-G TNFSF13B"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"14","MYC","0.1167","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""MYC targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ANGPTL4 PKM RPS19 CALR GNAS"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"15","SMAD4","0.1237","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SMAD4 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RSPO4 NRG1 CALM2 THBS1 PTHLH"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"16","GATA2","0.1347","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""GATA2 targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:OLFM2 CALM2 IL16 MMP2 PKM HLA-E"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
"17","PPARD","0.1386","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""PPARD targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ANGPTL4 PGF COL6A2"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"18","ESR1","0.1545","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ESR1 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:LYN CXCL12"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"19","KLF4","0.1557","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""KLF4 targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FN1 JAM2 CXCL12 CALR ADM PKM RPS19"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
"20","ETS1","0.1577","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ETS1 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALM2 PKM"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"21","EZH2","0.1963","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""EZH2 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NMU OLFM2 NTN4"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"22","RAD21","0.2081","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RAD21 targets 8 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CXCL12 CTHRC1 VEGFA FGF7 SEMA6A GDF5 LTBP1 THBS1"" style=""cursor: pointer; text-decoration: underline dotted;"">8 targets"
"23","RCOR1","0.2095","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RCOR1 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ARF1 CLCF1 PKM CALM2 VEGFA"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"24","AR","0.2222","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""AR targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:TNFSF13B LAMC1 WNT5A COL4A5 CXCL1 COL6A3 THBS1"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
"25","TP63","0.2931","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TP63 targets 8 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PTGS2 PCSK9 COL7A1 HBEGF PROS1 CLSTN1 TNC PKM"" style=""cursor: pointer; text-decoration: underline dotted;"">8 targets"
"26","POU5F1","0.3300","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""POU5F1 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PDGFC JAM2"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"27","KAT2A","0.3361","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""KAT2A targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALM2"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"28","FOXM1","0.3509","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""FOXM1 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALM2"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"29","REST","0.3538","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""REST targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NR2F1 CALM2 PROC PTHLH ADM SEMA6A HLA-E"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
"30","SUZ12","0.3796","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SUZ12 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:SLIT2"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"31","ZMIZ1","0.3943","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ZMIZ1 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ARF1 CALR CALM2 VEGFA PKM"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"32","TRIM28","0.4202","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TRIM28 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:TFPI"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"33","ZC3H11A","0.4434","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ZC3H11A targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:IGFBP4"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"34","RFX5","0.4631","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RFX5 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PKM B2M HLA-E"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"35","NANOG","0.5046","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NANOG targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PDGFC JAM2 FGF5"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"36","MYOD1","0.5293","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""MYOD1 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:TNC"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"37","CHD1","0.5698","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""CHD1 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ARF1 PKM CALR"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"38","CREB1","0.6411","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""CREB1 targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ARF1 CALR CALM2 RNF4 RPS19 B2M"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
"39","STAT5A","0.6529","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""STAT5A targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PKM"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"40","EZH2","0.6592","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""EZH2 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:GNAS"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"41","ZBTB7A","0.6633","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ZBTB7A targets 9 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALR VEGFB VEGFA PROS1 CTHRC1 LAMA5 ADM CLSTN1 SEMA4C"" style=""cursor: pointer; text-decoration: underline dotted;"">9 targets"
"42","IRF1","0.6973","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""IRF1 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:B2M"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"43","PPARG","0.6986","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""PPARG targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ANGPTL4 VEGFA"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"44","BCL3","0.7108","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""BCL3 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NMB"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"45","NFIC","0.7186","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NFIC targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PKM"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"46","TCF3","0.7357","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TCF3 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:VEGFA PKM THBS1"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"47","E2F1","0.7496","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""E2F1 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:LYN JAM3 CALM2"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"48","EGR1","0.7613","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""EGR1 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:THBS1"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"49","FOXA2","0.7624","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""FOXA2 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NR2F1"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"50","YY1","0.7792","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""YY1 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:LAMC1"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"51","FOS","0.7862","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""FOS targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALR TFPI"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"52","TAF7","0.7884","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TAF7 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RPS19 CALM2"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"53","FLI1","0.7956","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""FLI1 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RPS19 ECM1"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"54","SALL4","0.8013","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SALL4 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PKM"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"55","REST","0.8253","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""REST targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:COL5A3"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"56","PBX3","0.8323","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""PBX3 targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALR CALM2 RNF4 PKM"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"57","SP1","0.8328","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SP1 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RPS19 CALR"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"58","SPI1","0.8342","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SPI1 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RNF4 PROS1 RPS19 LYN B2M"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"59","HNF4A","0.8355","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""HNF4A targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:LYN CALM2 VEGFA LAMA5"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"60","STAT3","0.8432","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""STAT3 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:HLA-E LAMC1"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"61","RUNX1","0.8436","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RUNX1 targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:GMFG GNAS LAMC1 LIF"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"62","ZNF384","0.8460","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ZNF384 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CLCF1 CALM2"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"63","CEBPD","0.8482","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""CEBPD targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PKM CALM2"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"64","PML","0.8567","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""PML targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:VEGFA RPS19 ARF1 CALM2 SEMA4C"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"65","GATA1","0.8837","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""GATA1 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FGF5 LTBP1"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"66","TCF7L2","0.9308","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TCF7L2 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALM2"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"67","E2F6","0.9385","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""E2F6 targets 10 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ARF1 CTHRC1 PCSK9 CALR TCTN1 PKM CALM2 PTHLH IGFBP4 PKD2"" style=""cursor: pointer; text-decoration: underline dotted;"">10 targets"
"68","SP2","0.9429","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SP2 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALR RNF4"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"69","UBTF","0.9437","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""UBTF targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:VEGFA CLCF1 PROS1 SEMA4C"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"70","IRF3","0.9524","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""IRF3 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALR"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"71","ZBTB33","0.9604","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ZBTB33 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RPS19"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
"72","SIN3A","0.9669","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SIN3A targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALM2 PKM"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"73","MYC","0.9716","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""MYC targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALM2 VEGFA RPS19"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"74","NFYA","0.9803","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NFYA targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CALR PKM HLA-E CALM2 B2M"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"75","BCLAF1","0.9804","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""BCLAF1 targets 1 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RPS19"" style=""cursor: pointer; text-decoration: underline dotted;"">1 targets"
