"Rank","Transcription Factor","Hypergeometric p-value","Z-score","Combined score","Enriched Targets"
"1","SUZ12","1.328e-12","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SUZ12 targets 30 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FST TGFA RELN ADAM12 GREM1 SLIT3 GAS6 CSF1 EDN1 WNT5A CDH11 THY1 NTF3 CXCL12 SFRP1 BMP6 BMP4 BMP2 PTHLH SERPINE2 DKK2 ADM IGFBP4 NGF NLGN1 SEMA3F APP COL4A2 COL4A1 PODXL"" style=""cursor: pointer; text-decoration: underline dotted;"">30 targets"
"2","TP53","0.00006740","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TP53 targets 8 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:SERPINE2 LIF COL1A1 GAS6 FST EFNA4 CDH11 NLGN1"" style=""cursor: pointer; text-decoration: underline dotted;"">8 targets"
"3","NFE2L2","0.00008710","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NFE2L2 targets 14 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FN1 COL1A2 ECM1 VEGFC VEGFA BMP6 BMP4 LAMC2 LAMA4 FGF7 WNT5A COL4A1 DCN CDH11"" style=""cursor: pointer; text-decoration: underline dotted;"">14 targets"
"4","SOX2","0.001584","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SOX2 targets 10 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FN1 SFRP1 VEGFC BMP4 BMP2 PTHLH COL4A2 EFNA4 PODXL THBS2"" style=""cursor: pointer; text-decoration: underline dotted;"">10 targets"
"5","TRIM28","0.002128","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TRIM28 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:SFRP1 JAG2 WNT5A COL4A1 PODXL"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"6","CTCF","0.002894","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""CTCF targets 16 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:JAG2 TGFA SORT1 VEGFA ADAM12 SLIT3 GRN FGF7 EDN1 EFNA4 COL1A1 COL1A2 CXCL12 LAMA5 IGFBP4 APP"" style=""cursor: pointer; text-decoration: underline dotted;"">16 targets"
"7","SMC3","0.003870","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SMC3 targets 12 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:COL1A1 COL1A2 CXCL12 SORT1 VEGFA SLIT3 GRN FGF7 IGFBP4 APP EDN1 EFNA4"" style=""cursor: pointer; text-decoration: underline dotted;"">12 targets"
"8","ESR1","0.004457","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ESR1 targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:TGFA EFNA1 CXCL12 EDN1"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"9","RAD21","0.006645","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RAD21 targets 12 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:COL1A1 COL1A2 FST CXCL12 TGFA SORT1 VEGFA SLIT3 GRN FGF7 APP EDN1"" style=""cursor: pointer; text-decoration: underline dotted;"">12 targets"
"10","NANOG","0.01326","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NANOG targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:SFRP1 COL18A1 EDN1 VEGFC PODXL BMP4 THBS2"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
