"Rank","Transcription Factor","Hypergeometric p-value","Z-score","Combined score","Enriched Targets"
"1","ESR1","0.0001720","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ESR1 targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ITPR1 C3 LYN GDF15"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"2","GATA2","0.002220","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""GATA2 targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:IL16 TGM2 ITPR1 PSAP SEMA4D HLA-E"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
"3","HNF4A","0.006389","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""HNF4A targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:C3 LYN F7 APOE F10 INHA GDF15"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
"4","NELFE","0.008585","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NELFE targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:LRPAP1 GDF15 ITPR1"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"5","TP53","0.01952","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TP53 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PDGFC LIF GDF15"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"6","SPI1","0.03840","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SPI1 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:LYN LAMC1 RNF4 ITPR1 PSAP"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"7","POU5F1","0.08045","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""POU5F1 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:LRPAP1 PDGFC"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"8","PPARD","0.09338","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""PPARD targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:MFGE8 ITPR1"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"9","NFE2L2","0.1088","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NFE2L2 targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PDGFC CCL8 ECM1 LAMC1"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"10","GATA1","0.1760","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""GATA1 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:TGM2 ITPR1 GDF15"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
