"Rank","Transcription Factor","Hypergeometric p-value","Z-score","Combined score","Enriched Targets"
"1","NFE2L2","0.00005077","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NFE2L2 targets 11 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FN1 COL1A2 IL15 RGMB VEGFA BMP4 SERPINE1 TNC LPL TGFB2 TFPI"" style=""cursor: pointer; text-decoration: underline dotted;"">11 targets"
"2","SUZ12","0.00006350","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SUZ12 targets 14 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:WNT7B FST FBN1 GREM1 FGF5 LPL BDNF EDIL3 CD14 CD24 BMP4 SERPINE2 SEMA3C TGFB2"" style=""cursor: pointer; text-decoration: underline dotted;"">14 targets"
"3","RAD21","0.0003335","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RAD21 targets 11 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:COL1A1 COL1A2 SPP1 WNT7B FST CD14 RGMB VEGFA TGM2 IL6 FGF1"" style=""cursor: pointer; text-decoration: underline dotted;"">11 targets"
"4","SOX2","0.01553","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SOX2 targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FN1 SPP1 CD24 BMP4 SEMA3A TFPI"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
"5","SMC3","0.03349","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SMC3 targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:COL1A1 COL1A2 WNT7B VEGFA TGM2 IL6 SEMA3C"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
"6","REST","0.04844","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""REST targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CADM1 L1CAM WNT7B BDNF EDIL3 PLAT EFNA2"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
"7","TP53","0.05219","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TP53 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:SERPINE2 COL1A1 FST"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"8","ESR1","0.06320","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ESR1 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:EFNA1 SEMA3C"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"9","SMAD4","0.06748","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SMAD4 targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FGF1 EDIL3 COL5A2 FBN1"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"10","REST","0.08038","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""REST targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:L1CAM BDNF COL5A3"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"11","CTCF","0.09289","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""CTCF targets 8 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:SPP1 WNT7B VEGFA TGM2 COL1A1 COL1A2 IL6 LAMA5"" style=""cursor: pointer; text-decoration: underline dotted;"">8 targets"
