"Rank","Transcription Factor","Hypergeometric p-value","Z-score","Combined score","Enriched Targets"
"1","NFE2L2","8.962e-7","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NFE2L2 targets 22 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PDGFC DSC3 CCL8 FYN SLPI IGF1 CD34 RGMB RGMA KITLG INHBB BMP6 LAMC1 FZD6 TNC ANGPT1 IZUMO1 WNT5A LPL NTS DCN CDH11"" style=""cursor: pointer; text-decoration: underline dotted;"">22 targets"
"2","SUZ12","0.00001089","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SUZ12 targets 27 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NRG3 TNFSF11 KITLG GNAS FBN1 PROK2 CSF1 WNT5A LPL CDH11 RBP4 CXCL12 NTN1 SFRP1 CD14 CD24 RGMA INHBB BMP6 BMP3 MMP9 DKK1 FZD6 ADM SEMA6A IGFBP4 NPY"" style=""cursor: pointer; text-decoration: underline dotted;"">27 targets"
"3","AR","0.0001052","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""AR targets 19 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:F9 F13A1 DSC3 TNFSF13B NRG2 NRG3 NTN1 SFRP1 NTNG2 IGF1 RGMB CRTAM INHBB LAMC1 CDH1 SORBS1 WNT5A EFNA1 CXCL1"" style=""cursor: pointer; text-decoration: underline dotted;"">19 targets"
"4","ESR1","0.003985","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ESR1 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:C3 EFNA1 CXCL12 CXCL9 SERPINA1"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"5","TP63","0.004841","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TP63 targets 18 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:DSC1 DSC2 DSC3 NRG2 DSG1 TNFSF11 IGF1 CAMP TGM2 FZD6 TIMP3 CSF1 PROS1 TNC CDH1 MFAP5 NID1 IFNG"" style=""cursor: pointer; text-decoration: underline dotted;"">18 targets"
"6","TP53","0.005714","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TP53 targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RPS19 PDGFC RGMA KITLG SEMA6A MMP2 CDH11"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
"7","NANOG","0.006444","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NANOG targets 10 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:DKK1 LRPAP1 PDGFC NTN1 SFRP1 MAP7 IGF1 COL18A1 SORBS1 NCAM1"" style=""cursor: pointer; text-decoration: underline dotted;"">10 targets"
"8","POU5F1","0.008366","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""POU5F1 targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:DKK1 SFRP1 LRPAP1 EBI3 PDGFC CDH1"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
"9","SOX2","0.01415","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SOX2 targets 11 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PDGFC NTN1 SFRP1 CD24 KITLG GNAS DKK1 LRPAP1 RPS19 SORBS1 FBLN1"" style=""cursor: pointer; text-decoration: underline dotted;"">11 targets"
"10","EGR1","0.01926","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""EGR1 targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:MAP7 SERPINA1 MYOC CDH1 CXCL9 MMP9"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
"11","EZH2","0.02177","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""EZH2 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CD24 INHBB BMP3 GNAS CD244"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"12","TCF3","0.07033","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TCF3 targets 11 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PDGFC NTN1 SFRP1 SLPI RGMB KITLG DKK1 LRPAP1 CDH1 RPS19 NCAM1"" style=""cursor: pointer; text-decoration: underline dotted;"">11 targets"
"13","GATA1","0.08825","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""GATA1 targets 9 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FYN TGM2 PLCB2 CDH1 ANGPT1 COL18A1 SORBS1 FBLN2 CDH23"" style=""cursor: pointer; text-decoration: underline dotted;"">9 targets"
"14","HNF4A","0.1387","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""HNF4A targets 12 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:RBP4 C3 DSC2 APOE APOB TF DKK1 NR1D1 AGT FBLN1 NID1 EFNA1"" style=""cursor: pointer; text-decoration: underline dotted;"">12 targets"
"15","GATA2","0.1411","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""GATA2 targets 8 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CD34 TGM2 IL4 MMP2 HLA-E COL18A1 SORBS1 FBLN2"" style=""cursor: pointer; text-decoration: underline dotted;"">8 targets"
"16","TRIM28","0.1651","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TRIM28 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:SFRP1 PROS1 WNT5A"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"17","SMAD4","0.1924","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SMAD4 targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NRG3 ANGPT1 MAP7 CDH23 FBN1 CD2"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
