"Rank","Transcription Factor","Hypergeometric p-value","Z-score","Combined score","Enriched Targets"
"1","RELA","0.002970","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RELA targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CSF1 SEMA7A ICAM1 B2M EBI3"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"2","STAT3","0.005866","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""STAT3 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ICAM1 NAMPT TNFSF8"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"3","STAT3","0.01563","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""STAT3 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NAMPT ICAM1 HLA-E CD55 LAMC1"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"4","IRF1","0.01690","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""IRF1 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NAMPT B2M MX1"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"5","SMAD4","0.03118","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SMAD4 targets 4 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:S100A10 TNFSF8 CD55 CD2"" style=""cursor: pointer; text-decoration: underline dotted;"">4 targets"
"6","SPI1","0.06300","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SPI1 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CCL4 ICAM1 BSPRY LAMC1 B2M"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"7","TRIM28","0.06992","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TRIM28 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CD55 DLL1"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"8","POU5F1","0.1011","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""POU5F1 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:EBI3 DLL1"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"9","TP63","0.1562","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TP63 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:GSTP1 TNFSF10 GRN CSF1 IL1RN"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
"10","BHLHE40","0.1609","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""BHLHE40 targets 2 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NAMPT SNX2"" style=""cursor: pointer; text-decoration: underline dotted;"">2 targets"
"11","RCOR1","0.1745","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RCOR1 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:L1CAM GRN EBI3"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"12","SPI1","0.2059","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SPI1 targets 5 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:ICAM1 BSPRY CCL4 PLCB2 B2M"" style=""cursor: pointer; text-decoration: underline dotted;"">5 targets"
