"Rank","Transcription Factor","Hypergeometric p-value","Z-score","Combined score","Enriched Targets"
"1","SUZ12","2.294e-7","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SUZ12 targets 24 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:NR2F1 NRG3 TNFSF11 IGF2 GAD1 CNTN4 OXT SLIT2 PROK2 GAS6 FGF2 WNT5A THY1 CXCL12 CD24 BMP6 BMP4 MMP9 PTHLH DKK1 FZD6 ADM CLSTN1 PODXL"" style=""cursor: pointer; text-decoration: underline dotted;"">24 targets"
"2","NFE2L2","0.00005206","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NFE2L2 targets 15 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PTGS2 SLPI IGF1 IL15 BMP6 BMP4 IL7 LAMC1 FZD6 NR1D2 ANXA1 CLSTN1 FGF7 WNT5A ALOX5AP"" style=""cursor: pointer; text-decoration: underline dotted;"">15 targets"
"3","RELA","0.02370","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""RELA targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:FGF2 HSP90B1 ICAM2 RPS19 IL7 MMP9"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
"4","AR","0.02700","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""AR targets 10 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:TNFSF13B NRG3 NTNG2 IGF1 RTN4 CNTN4 LAMC1 WNT5A COL4A5 CXCL1"" style=""cursor: pointer; text-decoration: underline dotted;"">10 targets"
"5","ESR1","0.03457","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""ESR1 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CGN CXCL12 CXCL9"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"6","NANOG","0.05506","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""NANOG targets 6 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:DKK1 HSP90AA1 IGF1 COL18A1 PODXL BMP4"" style=""cursor: pointer; text-decoration: underline dotted;"">6 targets"
"7","SOX2","0.06388","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""SOX2 targets 7 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:CD24 GAD1 BMP4 PTHLH DKK1 RPS19 PODXL"" style=""cursor: pointer; text-decoration: underline dotted;"">7 targets"
"8","REST","0.06549","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""REST targets 10 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:THY1 CADM1 NR2F1 NRG3 GAD1 PTHLH ADM CRH HLA-E PODXL"" style=""cursor: pointer; text-decoration: underline dotted;"">10 targets"
"9","TRIM28","0.07271","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TRIM28 targets 3 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:PROS1 WNT5A PODXL"" style=""cursor: pointer; text-decoration: underline dotted;"">3 targets"
"10","TCF3","0.08800","0.00","0.00",""" title=""Overlapping EnrichrTargets"" data-content=""TCF3 targets 8 genes from the input gene list.Associations were determined from the following experiment:The full list of targets is available below:HSP90AA1 SLPI RTN4 LAMA5 DKK1 BTLA RPS19 PODXL"" style=""cursor: pointer; text-decoration: underline dotted;"">8 targets"
