"HGNC.symbol","Score"
"C17orf49",1
"RNASEK-C17orf49",1
"NCBP2AS2",0.728574714144205
"C2orf68",1
"C4orf19",0.331009038512334
"C11orf58",1.42863871832937e-07
"C9orf24",1
"C11orf1",0.00734391094177143
"C3orf80",0.10396088016537
"C8orf33",0.0118723396371449
"C11orf49",0.000104169790908087
"C9orf85",0.00410311421021846
"KIAA1143",0.0324172113129049
"C1orf122",0.20330802742658
"C16orf74",1
"C12orf75",0.42251199493038
"GREP1",1
"C6orf120",0.00551023661543445
"C19orf12",0.00555049844608351
"GUCA1ANB",1
"C5orf49",0.177099267537699
"C9orf50",1
"C17orf98",1
"C2orf81",0.2273802170647
"C20orf144",1
"C9orf116",1
"C19orf81",1
"C6orf118",1
"C4orf51",0.326198468199802
"C11orf97",1
"C1orf194",1
"C4orf36",1
"C17orf97",1
"C15orf39",1
"C12orf50",1
"C2orf88",0.0865148472479479
"C17orf50",1
"C20orf85",1
"C1orf21",0.0548669807419397
"C1orf146",1
"C9orf135",1
"C13orf46",1
"C11orf94",1
"C4orf47",1
"C16orf46",0.8212516124011
"C19orf44",0.138464505218046
"C12orf71",1
"C16orf90",1
"C20orf27",2.04019523479603e-08
"PLSCR1",0.672557239511136
"SMIM33",1
"C2orf69",0.0335089339807309
"C22orf23",1
"TEX54",1
"C2orf74",1
"C3orf62",1
"NUP50",0.500013532470269
"C14orf119",0.000173677548642611
"C17orf64",1
"C11orf98",0.360007607584857
"C17orf58",1
"C16orf72",0.00120549190419087
"CFAP92",1
"CXorf38",0.000276902865941493
"C4orf3",1.1219627688042e-05
"C11orf24",0.101137221467074
"STMP1",1.04920101824104e-06
"C11orf86",1
"C19orf33",1
"C9orf64",0.137867525626786
"C12orf43",2.84783567147623e-06
"KIAA0825",1
"C15orf61",1
"C1orf53",0.0653163659278378
"C19orf25",0.000156159945000912
"C19orf47",0.0549067751069451
"C1orf198",0.701086660823669
"C11orf52",1
"C1orf35",0.0110298868950278
"C10orf95",1
"C6orf226",0.118186532649765
"C1orf68",1
"C6orf58",1
"C10orf88",0.0353141745761724
"C6orf136",9.38044403918156e-05
"C1orf52",0.0103850366750891
"C22orf39",0.00779378734465395
"C3orf70",0.000875271085951895
"KIAA2013",0.0316055699102197
"SMIM30",4.55098913295788e-05
"ZNF519",0.33479266419401
"C21orf58",1
"CFAP418",0.00256140108604132
"KIAA0100",0.00132960481521593
"C10orf99",1
"C1orf210",1
"KIAA0586",0.304265393593142
"C18orf21",0.020128270190943
"C1orf131",0.0311565562857542
"C2orf72",1
"KIAA1671",0.0439958908894231
"C15orf40",0.00399392471866723
"C7orf50",0.078645170075725
"C10orf71",1
"C3orf14",0.000497210683313408
"C5orf34",0.0153243601488543
"KIAA1191",3.24877159978613e-06
"C7orf31",1
"C16orf87",0.00486799076946026
"C5orf52",1
"C19orf71",1
"PPP4R3C",1
"C12orf29",0.0962849798131676
"C8orf89",1
"C14orf39",0.340622860570688
"C16orf92",1
"C3orf38",0.0133527788023668
"POTEA",1
"C18orf54",0.0958420720069069
"C2orf73",1
"C1orf185",1
"KIAA0040",1
"C17orf107",1
"C11orf65",1
"C1orf105",1
"C16orf96",1
"C17orf100",0.694746317330295
"C8orf74",1
"C4orf46",0.44602717155086
"C3orf20",1
"SIGLECL1",1
"C11orf54",0.228148435672321
"C14orf93",0.764790510055691
"JKAMP",0.500000000108761
"KIAA0895L",0.0557077209108766
"KIAA1109",0.0443278775779836
"C21orf62",1
"CAPZA1",0.500033245332546
"C16orf86",1
"C10orf62",1
"C2orf92",1
"KIAA0753",1
"C9orf43",1
"C1orf43",0.000560408673360144
"KIAA0930",0.0521403849531128
"C1orf216",0.000550750004846683
"C17orf75",0.000489218553908545
"PACRGL",1
"C5orf22",0.0122965745044724
"C17orf99",1
"KIAA0513",0.0307991777831195
"C20orf173",1
"C3orf18",0.492202593579646
"TMEM275",1
"C20orf96",0.52117991755235
"C18orf25",1
"CXorf49",1
"CXorf49B",1
"ERMARD",0.673871673049587
"C6orf141",1
"C8orf76",0.0127218980051233
"ZHX1-C8orf76",0.0127218980051233
"KIAA0408",0.00419424553535998
"C1orf159",0.122992047078144
"C10orf143",0.738038918290703
"C5orf15",1.73424179739988e-05
"KIAA0895",0.0272396591980096
"C8orf58",0.859787979546315
"KIAA2026",0.900154185081589
"C1orf109",0.673549081850254
"ASIP",1
"C1orf74",0.00389797087623114
"A2M",1
"A3GALT2",0.000108647032826489
"C1orf174",0.000126437230260665
"A4GALT",1.08895102847316e-06
"A4GNT",1
"C14orf180",1
"C8orf34",5.64576992933213e-05
"PRR35",1
"C11orf91",1
"C15orf48",1
"C1orf116",0.0659916565823193
"AAAS",0.000903144379336392
"AACS",5.97815753810001e-09
"AADAT",1
"AAGAB",1.02562801266011e-05
"AAK1",0.000536961757074104
"AAMDC",0.000361465038472121
"AAMP",5.26266975553476e-08
"AANAT",1
"AAR2",0.00023348607058944
"AARD",0.0276879079243613
"AARS1",4.66576565138328e-07
"AARS2",0.000349073061200009
"AARSD1",0.602423222988313
"PTGES3L-AARSD1",0.602423222988313
"AASDH",0.00492621011925651
"AASDHPPT",6.1754981926191e-07
"AASS",1
"AATF",7.81129983503281e-05
"AATK",0.0056376173136127
"C19orf38",1
"ABAT",0.000582753266257534
"ABCA1",0.000291608175791741
"ABCA12",1
"ABCA2",5.99309547470112e-05
"ABCA3",0.000170244077960651
"ABCA5",4.40252197803125e-05
"ABCA6",0.0125503276899247
"ABCA7",0.000149073439747246
"ABCA8",0.00779663338075203
"ABCA9",1
"ABCB10",0.0409442273824336
"ABCB1",1
"ABCB4",0.042202549364314
"ABCB6",0.16102017604757
"ABCB7",0.00114269446790244
"ABCB8",1.04360789112756e-05
"ABCB9",0.000716541498968847
"ABCC1",0.00276694049132756
"ABCC10",0.0387934832176916
"ABCC12",1
"ABCC2",1
"ABCC3",1
"ABCC4",0.000527089981703656
"ABCC5",3.91565871468527e-07
"ABCC8",0.0491183609502744
"ABCC9",1
"ABCD1",0.0222838446161989
"ABCD2",0.00538638169010214
"ABCD3",2.76036231244497e-07
"ABCD4",0.00132166443559293
"ABCE1",3.11529804142478e-08
"ABCF1",1.76959328701887e-07
"ABCF2",1.13114940831193e-06
"ABCF2-H2BE1",1.13114940831193e-06
"ABCF3",2.99029998184091e-06
"ABCG1",0.00037887443205755
"ABCG4",0.000133000943588289
"ABHD1",1
"ABHD10",1.04056556915886e-06
"ABHD11",2.99029998184091e-06
"ABHD12",4.95835199116923e-10
"ABHD12B",1
"ABHD13",0.0072663829946383
"ABHD14A",2.04290997225836e-06
"ABHD14B",0.00011634870592935
