Name,Human_Score,Mouse_Score
A2M,0.785765649,1
A3GALT2,0.125164617,0.000108647
A4GALT,0.001609501,1.09E-06
A4GNT,1,1
AAAS,0.132432457,0.000903144
AACS,0.022016922,5.98E-09
AADAT,0.171388948,1
AAGAB,0.000136814,1.03E-05
AAK1,0.000980981,0.000536962
AAMDC,0.000100584,0.000361465
AAMP,0.016981254,5.26E-08
AANAT,1,1
AAR2,0.042361263,0.000233486
AARD,1,0.027687908
AARS2,0.206312556,0.000349073
AASDH,0.091590561,0.00492621
AASDHPPT,0.001460246,6.18E-07
AASS,1,1
AATF,0.024692092,7.81E-05
AATK,6.37E-05,0.005637617
ABAT,0.044597579,0.000582753
ABCA1,0.109236228,0.000291608
ABCA12,1,1
ABCA2,0.008898708,5.99E-05
ABCA3,8.84E-07,0.000170244
ABCA5,0.000125639,4.40E-05
ABCA6,0.022479027,0.012550328
ABCA7,1.65E-07,0.000149073
ABCA8,0.150049787,0.007796633
ABCA9,0.002330934,1
ABCB1,0.167401092,1
ABCB10,0.048565868,0.040944227
ABCB4,1,0.042202549
ABCB6,1,0.161020176
ABCB7,0.362545531,0.001142694
ABCB8,0.013866699,1.04E-05
ABCB9,0.007479481,0.000716541
ABCC1,0.00210222,0.00276694
ABCC10,0.004165926,0.038793483
ABCC12,1,1
ABCC2,1,1
ABCC3,1,1
ABCC4,0.004590664,0.00052709
ABCC5,9.92E-06,3.92E-07
ABCC8,0.863202174,0.049118361
ABCC9,1,1
ABCD1,0.100151988,0.022283845
ABCD2,0.047219084,0.005386382
ABCD3,0.00238755,2.76E-07
ABCD4,0.049504458,0.001321664
ABCE1,0.36040944,3.12E-08
ABCF1,0.004254706,1.77E-07
ABCF2,0.05270247,1.13E-06
ABCF3,0.156740642,2.99E-06
ABCG1,0.08501474,0.000378874
ABCG4,0.229876609,0.000133001
ABHD1,1,1
ABHD10,0.00922761,1.04E-06
ABHD11,0.281523148,2.99E-06
ABHD12,1.02E-06,4.96E-10
ABHD12B,1,1
ABHD13,0.463601762,0.007266383
ABHD14A,1,2.04E-06
ABHD14A-ACY1,1,0.004278705
ABHD14B,1,0.000116349
ABHD15,1,1
ABHD16A,1,1.59E-08
ABHD16B,1,1
ABHD17A,0.00346665,4.14E-05
ABHD17B,0.001937027,0.007724759
ABHD17C,0.002432164,0.003159915
ABHD18,0.000179874,1
ABHD2,1.23E-08,0.000196543
ABHD3,7.13E-05,7.40E-05
ABHD4,0.571640852,1.66E-06
ABHD5,0.071991583,3.31E-06
ABHD6,0.009759713,4.50E-06
ABHD8,0.000833018,2.63E-08
ABI1,3.49E-05,1.67E-07
ABI2,0.016647065,1.52E-06
ABI3,1,1
ABI3BP,0.2570046,0.054284074
ABL1,7.45E-06,0.013406499
ABL2,0.004406176,0.004336725
ABLIM1,2.96E-09,5.18E-05
ABLIM2,0.000947195,0.000443998
ABLIM3,4.75E-05,0.00017769
ABO,0.08501474,1
ABR,0.000478065,1.90E-07
ABRA,1,1
ABRACL,0.013208865,0.000234098
ABT1,0.210967458,0.000555043
ABTB1,0.000320769,2.23E-05
ABTB2,0.062698475,6.03E-05
ACAA1,0.144610506,0.328322467
ACAA2,1,3.63E-08
ACACA,6.74E-05,0.000327307
ACACB,0.023713475,1
ACAD10,0.06486438,0.006571002
ACAD8,0.140158445,4.16E-06
ACAD9,0.114469695,0.000192551
ACADL,1,2.99E-10
ACADM,0.063802269,6.47E-08
ACADS,0.054277647,0.003223943
ACADSB,0.006241776,6.03E-05
ACADVL,0.001343135,4.00E-05
ACAN,1,1
ACAP1,1,1
ACAP2,0.000202581,0.000825974
ACAP3,7.79E-06,8.20E-06
ACAT1,0.000176269,1.32E-08
ACAT2,0.000716228,0.5
ACBD3,0.000109175,5.79E-05
ACBD4,0.072117783,1.67E-07
ACBD5,0.018709523,2.50E-07
ACBD6,0.000656845,0.000134802
ACBD7,1,0.00168982
ACCS,0.129885839,0.006457635
ACCSL,1,1
ACD,0.303918994,0.000123755
ACER1,1,1
ACER2,0.081108333,1
ACER3,0.006245886,0.000135559
ACHE,2.54E-07,6.05E-06
ACIN1,5.04E-05,0.001253757
ACKR1,4.40E-07,1.02E-05
ACKR3,0.855981371,1
ACKR4,1,1
ACLY,2.92E-08,3.79E-13
ACMSD,1,1
ACO1,0.004093126,5.56E-05
ACO2,0.000185506,1.79E-08
ACOT1,1,0.360310344
ACOT11,0.02352665,0.017123901
ACOT12,1,1
ACOT13,0.021620546,1.53E-11
ACOT2,1,0.360310344
ACOT4,1,1
ACOT6,1,0.055728458
ACOT7,1.47E-10,1.62E-15
ACOT8,0.00434202,0.000469352
ACOT9,0.046601321,0.500000064
ACOX1,0.008318798,8.34E-09
ACOX2,1,1
ACOX3,0.076221591,5.05E-05
ACP1,0.171844121,7.41E-06
ACP2,0.005593527,3.59E-06
ACP5,1,1
ACP6,1,0.350096043
ACP7,1,1
ACR,1,1
ACRBP,1,1
ACRV1,1,1
ACSBG1,0.166004768,0.040819721
ACSBG2,0.122188239,1
ACSF2,0.30318689,1
ACSF3,0.271061617,0.11961929
ACSL1,0.026902848,1.52E-05
ACSL3,0.000694197,1.05E-05
ACSL4,3.84E-06,6.16E-06
ACSL5,1,3.75E-07
ACSL6,1,1.27E-05
ACSM2B,1,1
ACSM3,1,1
ACSM4,1,1
ACSS1,0.563011142,0.357934699
ACSS2,3.32E-05,4.97E-05
ACSS3,0.520816927,1
ACTA1,1,0.064031859
ACTA2,1,1
ACTB,1.83E-12,4.51E-20
ACTC1,1,1
ACTG1,4.10E-15,8.80E-14
ACTG2,1,1
ACTL6A,0.257825045,6.88E-05
ACTL6B,0.014543294,3.48E-05
ACTN1,0.176784526,0.000238225
ACTN2,1,1
ACTN3,1,1
ACTN4,1.77E-09,4.56E-08
ACTR10,8.73E-09,1.54E-06
