"GENEID","SYMBOL","tpm_counts"
"ENSMUSG00000069917","Hba-a2",13015.2156356061
"ENSMUSG00000023064","Sncg",10308.2206440802
"ENSMUSG00000052305","Hbb-bs",10156.1821889088
"ENSMUSG00000049775","Tmsb4x",6457.45201138328
"ENSMUSG00000029223","Uchl1",5781.41605313922
"ENSMUSG00000059412","Fxyd2",5197.92527849466
"ENSMUSG00000023484","Prph",4913.75109472052
"ENSMUSG00000014846","Tppp3",4458.23936077103
"ENSMUSG00000023944","Hsp90ab1",3784.3524917523
"ENSMUSG00000047139","Cd24a",3417.31571664993
"ENSMUSG00000072235","Tuba1a",3384.16468914576
"ENSMUSG00000030695","Aldoa",3264.08260835975
"ENSMUSG00000024661","Fth1",3215.73678041662
"ENSMUSG00000030669","Calca",3054.56134960759
"ENSMUSG00000018965","Ywhah",2953.64169872181
"ENSMUSG00000027523","Gnas",2900.51478173186
"ENSMUSG00000022055","Nefl",2865.35476320402
"ENSMUSG00000036309","Skp1a",2773.13682738418
"ENSMUSG00000062380","Tubb3",2695.84613888312
"ENSMUSG00000073940","Hbb-bt",2660.00236649036
"ENSMUSG00000038530","Rgs4",2658.54374425353
"ENSMUSG00000027500","Stmn2",2608.43636696052
"ENSMUSG00000032231","Anxa2",2566.28395725623
"ENSMUSG00000019505","Ubb",2518.50662963076
"ENSMUSG00000027712","Anxa5",2471.98720128251
"ENSMUSG00000036564","Ndrg4",2338.2639871249
"ENSMUSG00000001025","S100a6",2270.24369701663
"ENSMUSG00000005873","Reep5",2162.5226741071
"ENSMUSG00000032181","Scg3",2137.82107222243
"ENSMUSG00000036438","Calm2",2092.93807389575
"ENSMUSG00000022816","Fstl1",2072.28841781685
"ENSMUSG00000051391","Ywhag",2071.87297557473
"ENSMUSG00000030342","Cd9",2051.01000631229
"ENSMUSG00000021288","Klc1",1967.32363336782
"ENSMUSG00000029580","Actb",1943.14908972522
"ENSMUSG00000041959","S100a10",1892.14868855076
"ENSMUSG00000001175","Calm1",1867.34607796427
"ENSMUSG00000024758","Rtn3",1771.79132044198
"ENSMUSG00000004207","Psap",1770.00579345408
"ENSMUSG00000028367","Txn1",1766.84928749025
"ENSMUSG00000028843","Sh3bgrl3",1763.65196205257
"ENSMUSG00000027581","Stmn3",1754.89643668441
"ENSMUSG00000044285","Gm1821",1744.16417363358
"ENSMUSG00000021477","Ctsl",1717.37915051062
"ENSMUSG00000001525","Tubb5",1710.28231402424
"ENSMUSG00000041571","Sepw1",1701.10608532702
"ENSMUSG00000033161","Atp1a1",1690.75393882219
"ENSMUSG00000063065","Mapk3",1680.66114979534
"ENSMUSG00000024425","Ndfip1",1668.84137529713
"ENSMUSG00000031633","Slc25a4",1651.75504962901
"ENSMUSG00000016349","Eef1a2",1592.92128718605
"ENSMUSG00000029632","Ndufa4",1548.8575720532
"ENSMUSG00000058672","Tubb2a",1487.65490181341
"ENSMUSG00000037852","Cpe",1486.24092923298
"ENSMUSG00000037742","Eef1a1",1467.46708095533
"ENSMUSG00000031137","Fgf13",1450.23872985682
"ENSMUSG00000031748","Gnao1",1436.92559013082
"ENSMUSG00000025393","Atp5b",1416.32729640078
"ENSMUSG00000036062","N28178",1371.17947368237
"ENSMUSG00000056201","Cfl1",1367.30294143436
"ENSMUSG00000039114","Nrn1",1360.80906740585
"ENSMUSG00000020849","Ywhae",1302.76490047977
