"MGI.symbol","Score"
"Sncg",3.6299350356834e-31
"Tmsb4x",4.00431755728553e-30
"Calm2",6.43084176176077e-29
"Tppp3",2.20854882098128e-27
"Stmn3",6.06962501547008e-27
"Uchl1",1.18606591328968e-25
"Hsp90ab1",1.18606591328968e-25
"S100a10",4.50846076471605e-25
"Tuba1a",5.33298014863252e-25
"Calca",2.03216005371379e-24
"Calm1",3.79734775190208e-24
"Cox8a",5.11835190928928e-24
"Sh3bgrl3",5.11835190928928e-24
"Cox6a1",1.8522871628576e-23
"Cox6b1",4.58316649304767e-23
"Slc25a4",9.08902940208114e-23
"S100a6",1.79465412013743e-22
"Fth1",4.63124851542099e-22
"Stmn2",4.91345728570219e-22
"Tubb5",1.67433480232572e-21
"Hint1",1.67433480232572e-21
"Cd24a",1.76863950733212e-21
"Prph",3.01093593334716e-21
"Anxa5",3.69649979320266e-21
"Tubb3",9.26973190382179e-21
"Nefl",9.72133172755941e-21
"Ndufa4",1.45952929407586e-20
"Akr1a1",2.34753396610123e-20
"Lxn",3.27181898620034e-20
"Cd9",3.54893428133523e-20
"Actb",4.51163166788233e-20
"Dynlrb1",5.7032980153023e-20
"Rabac1",5.92736817916999e-20
"Crip2",5.92736817916999e-20
"Fxyd2",6.90506376312833e-20
"Rgs4",8.02557883033462e-20
"Nedd8",8.97059672598465e-20
"Ndrg4",1.2888180912185e-19
"Pmp22",1.82834569904948e-19
"Cst3",2.24229587402067e-19
"Prr13",9.19156547485603e-19
"Tmem50a",1.15826749344696e-18
"Aldoa",1.22618234694678e-18
"Txn1",1.37286680547477e-18
"Ywhae",1.45197350314869e-18
"Tubb2a",1.85315298146739e-18
"Gng3",1.95003456374835e-18
"Sult4a1",2.30909128359521e-18
"Fstl1",2.63182256918106e-18
"Dctn3",2.63611523334218e-18
"Hsp90aa1",3.50667888714467e-18
"Syt11",3.88239197746062e-18
"Map1lc3a",4.08350876632274e-18
"Cdc42",5.23687872734423e-18
"Cox4i1",6.11931593249301e-18
"Tuba1b",7.00275051736509e-18
"Ywhah",8.07267977094841e-18
"Hprt",8.26464903529827e-18
"Bex2",8.32545212237909e-18
"Uqcr10",8.66096163339632e-18
"Rtn1",1.09111249622208e-17
"Atp5d",1.25013848732456e-17
"Mllt11",1.39827255873347e-17
"Mapk3",1.63221307039283e-17
"Cisd1",1.63221307039283e-17
"Cox7a2",1.70523094275092e-17
"Itm2b",1.74283101524789e-17
"Sepw1",1.78445452989363e-17
"Ubb",2.40108131882338e-17
"Calcb",2.40387478128766e-17
"Anxa2",2.78342285116443e-17
"Grina",3.02374950757509e-17
"Fgf13",3.63410870408729e-17
"Dynlt3",4.35319653865227e-17
"Arhgdia",4.61991082791149e-17
"Klc1",5.19790136831733e-17
"Cfl1",5.3865093006577e-17
"Nrn1",5.3865093006577e-17
"Tagln3",5.57867996540835e-17
"Arl6ip1",6.67915402544425e-17
"Fkbp1a",7.76963317137089e-17
"Cpe",7.9166417965312e-17
"Eef1a1",8.85250178195654e-17
"Rpl4",1.02534143550398e-16
"Tecr",1.18543116440381e-16
"Ndufc2",1.25096887273884e-16
"Gabarap",1.68792544016478e-16
"Ywhag",1.80887418247812e-16
"Ndufb3",1.93756774346486e-16
"Rnf7",1.97100209294451e-16
"Srp14",2.0744438563181e-16
"Atox1",2.14609301504212e-16
"Atpif1",2.58150603487079e-16
"Reep5",2.80449497559609e-16
"Hspa8",2.84024197430816e-16
"Atp5a1",2.94646543635505e-16
"Zwint",3.14581493396131e-16
"Ctsb",3.24997172331713e-16
"Tbcb",3.30320514462659e-16
"Pfn2",3.41203262798021e-16
"Psmc5",4.13555612501628e-16
"Ywhaz",4.35517232691005e-16
"Gabarapl1",5.2326967998076e-16
"Higd2a",5.39723379821053e-16
"Atp6v1f",5.72844197270008e-16
"Rab3a",6.48608402577115e-16
"Tmem59",6.78747618834363e-16
"Tubb4b",6.90633567648436e-16
"Rplp1",7.47379571208533e-16
"Capzb",7.54031696551568e-16
"Cplx1",7.88535327592046e-16
"Hsbp1",7.88535327592046e-16
"Fkbp1b",9.19480951497808e-16
"Ywhab",9.41216304625255e-16
"Fxyd7",1.07419243114751e-15
"Scg3",1.08823610133471e-15
"Ctsd",1.10401880406199e-15
"Syngr3",1.13620371673343e-15
"Hspb8",1.25561072327351e-15
"Tagln2",1.33934326457092e-15
"Nmb",1.42568546890047e-15
