FileName;Group;ShortName
GSM3044996_12598_BM_OT_BR_EMM_MYC+.cel;MM;MM1
GSM3044997_10551_BM_OT_BN_EMM_MYC+BCL2+.cel;MM;MM2
GSM3044998_10753_BM_OT_BN_EMM_MYC+.cel;MM;MM3
GSM3044999_10907_BM_OT_BN_EMM_MYC+BCL2+.cel;MM;MM4
GSM3045000_11597_BM_OT_BN_MM_MYC+.cel;MM;MM5
GSM3045001_11900_BM_OT_BN_MM_MYC+.cel;MM;MM6
GSM3045002_11935_BM_OT_BN_MM_MYC+.cel;MM;MM7
GSM3045003_12135_BM_OT_BN_MM_MYC+.cel;MM;MM8
GSM3045004_12150_BM_OT_BN_EMM_MYC+.cel;MM;MM9
GSM3045005_12161_BM_OT_BN_MM_MYC+.cel;MM;MM10
GSM3045006_12183_BM_OT_BN_EMM_MYC+.cel;MM;MM11
GSM3045007_12251_BM_OT_BN_MM_MYC+.cel;MM;MM12
GSM3045008_12372_BM_OT_BN_MM_MYC+.cel;MM;MM13
GSM3045010_12439_BM_OT_BN_MM_MYC+.cel;MM;MM14
GSM3045011_12452_BM_R_BN_EMM_MYC+.cel;MM;MM15
GSM3045012_12498_BM_OT_BN_MM_MYC+.cel;MM;MM16
GSM3045013_12571_BM_OT_BN_EMM_MYC+.cel;MM;MM17
GSM3045015_12598_BM_R1_BR_EMM_MYC+.cel;MM;MM18
GSM3045018_12625_BM_R1_BN_MM_MYC+.cel;MM;MM19
GSM3045023_12724_BM_OT_BN_MM_MYC+.cel;MM;MM20
GSM3045024_12728_BM_OT_BN_MM_MYC+.cel;MM;MM21
GSM3045026_12803_BM_OT_BN_EMM_MYC+.cel;MM;MM22
GSM3045028_12811_BM_OT_BN_EMM_MYC+.cel;MM;MM23
GSM3045030_12854_BM_OT_BN_EMM_MYC+FGFR3+.cel;MM;MM24
GSM3045031_12869_BM_R_BN_EMM_MYC+.cel;MM;MM25
GSM3045032_12916_BM_OT_BN_MM_MYC+.cel;MM;MM26
GSM3045034_13034_BM_OT_BN_EMM_MYC+.cel;MM;MM27
GSM3045035_13038_BM_OT_BN_MM_MYC+FGFR3+.cel;MM;MM28
GSM3045036_13044_BM_R_BN_MM_MYC+.cel;MM;MM29
GSM3045039_13325_BM_OT_BN_MM_MYC+FGFR3_.cel;MM;MM30
GSM3045040_13402_BM_OT_BN_MM_MYC+.cel;MM;MM31
GSM3045042_13429_BM_OT_BN_MM_MYC+.cel;MM;MM32
GSM3045043_13457_BM_OT_BN_EMM_MYC+.cel;MM;MM33
GSM3045048_13764_BM_OT_BR_EMM_MYC+.cel;MM;MM34
GSM3045049_13768_BM_OT_BN_MM_MYC+.cel;MM;MM35
GSM3045050_13769_BM_OT_BN_MM_MYC+FGFR3+.cel;MM;MM36
GSM3045051_13794_BM_OT_BN_EMM_MYC+.cel;MM;MM37
GSM3045053_13808_BM_OT_BN_EMM_MYC+.cel;MM;MM38
GSM3045055_13834_BM_OT_BN_MM_MYC+FGFR3+.cel;MM;MM39
GSM3045061_14154_BM_R1_BN_MM_MYC+.cel;MM;MM40
GSM3045063_14258_BM_OT_BN_EMM_MYC+BCL6+.cel;MM;MM41
GSM3045073_15166_BM_OT_BN_MM_MYC+.cel;MM;MM42
GSM3045097_9855_BM_OT_BN_MM_MYC+.cel;MM;MM43
GSM3045100_C57BL6_BM_WT1_BN_NPC_WT.cel;HD;HD1
GSM3045101_C57BL6_BM_WT2_BN_NPC_WT.cel;HD;HD2
GSM3045102_C57BL6_BM_WT3_BN_NPC_WT.cel;HD;HD3
