FileName;Group;ShortName
GSM2321707_MSC905_ctrl_HG-U133_Plus_2_.CEL;HD;HD1
GSM2321708_MSC918_ctrl_HG-U133_Plus_2_.CEL;HD;HD2
GSM2321709_MSC920_ctrl_HG-U133_Plus_2_.CEL;HD;HD3
GSM2321710_MSC932_ctrl_HG-U133_Plus_2_.CEL;HD;HD4
GSM2321711_MSC933_ctrl_HG-U133_Plus_2_.CEL;HD;HD5
GSM2321712_MSC905_koku_HG-U133_Plus_2_.CEL;MM;MM1
GSM2321713_MSC918_koku_HG-U133_Plus_2_.CEL;MM;MM2
GSM2321714_MSC920_koku_HG-U133_Plus_2_.CEL;MM;MM3
GSM2321715_MSC932_koku_HG-U133_Plus_2_.CEL;MM;MM4
GSM2321716_MSC933_koku_HG-U133_Plus_2_.CEL;MM;MM5
